Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Values_from,Run_Name,Initial_W,fit.to,fit.to.value,First_day,Last_day,N_indiv,Oxycal,p-value,Total consumption (g),Final weight (g),Pop Number,Pop Biomass (g),Cum. Cons. Pop. (g),Run time (s),OK. Energy budget balanced.,T_File,Diet_prop_File,Prey_E_File,EGEQ,Indigestible_Prey,PREDEDEQ,Predator_ED,calc.pop_mort,Mortality_File,calc.spawn,Reproduction_File,calc.contaminant,Prey_conc_File,Contam_assim_File,Contam_trans_eff_File,Init_Pred-conc,Contam_EQ,calc.nut,Save_Daily_Output,Daily_Output_File
Tue Aug  1 15:11:47 2023,v1.1.5,/Users/jeffbaldock/Desktop/FishBioenergetics4.0/jim-breck-FB4-cc0e5f4,FB4_Log_File_BaldockYOYGrowthMeans.csv,23,Cutthroat trout,Main Inputs/BaldockBioE/YOYGrowth_BioE_DesignFile_Means.csv,Upper Bar BC_2021-08-20_1_2021,0.1625,Weight,0.1484,217,232,1,13560,0.108398,0.123,0.148,1.000,0.148,0.123,0.454,0.000,Main Inputs/BaldockBioE/Temperature Files/Temp_upperbarbc_SG_2021.csv,Main Inputs/BaldockBioE/Diet_prop_inverts.csv,Main Inputs/BaldockBioE/Prey_E_inverts_4000.csv,3,Main Inputs/BaldockBioE/Indigestible_Prey_inverts.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA
Tue Aug  1 15:11:47 2023,v1.1.5,/Users/jeffbaldock/Desktop/FishBioenergetics4.0/jim-breck-FB4-cc0e5f4,FB4_Log_File_BaldockYOYGrowthMeans.csv,23,Cutthroat trout,Main Inputs/BaldockBioE/YOYGrowth_BioE_DesignFile_Means.csv,Upper Bar BC_2021-08-20_2_2021,0.105,Weight,0.1256,217,232,1,13560,0.192383,0.175,0.126,1.000,0.126,0.175,0.101,0.000,Main Inputs/BaldockBioE/Temperature Files/Temp_upperbarbc_SG_2021.csv,Main Inputs/BaldockBioE/Diet_prop_inverts.csv,Main Inputs/BaldockBioE/Prey_E_inverts_4000.csv,3,Main Inputs/BaldockBioE/Indigestible_Prey_inverts.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA
Tue Aug  1 15:11:47 2023,v1.1.5,/Users/jeffbaldock/Desktop/FishBioenergetics4.0/jim-breck-FB4-cc0e5f4,FB4_Log_File_BaldockYOYGrowthMeans.csv,23,Cutthroat trout,Main Inputs/BaldockBioE/YOYGrowth_BioE_DesignFile_Means.csv,Upper Bar BC_2021-08-20_3_2021,0.107692307692308,Weight,0.234210526315789,217,232,1,13560,0.418457,0.487,0.234,1.000,0.234,0.487,0.088,0.000,Main Inputs/BaldockBioE/Temperature Files/Temp_upperbarbc_SG_2021.csv,Main Inputs/BaldockBioE/Diet_prop_inverts.csv,Main Inputs/BaldockBioE/Prey_E_inverts_4000.csv,3,Main Inputs/BaldockBioE/Indigestible_Prey_inverts.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA
Tue Aug  1 15:11:47 2023,v1.1.5,/Users/jeffbaldock/Desktop/FishBioenergetics4.0/jim-breck-FB4-cc0e5f4,FB4_Log_File_BaldockYOYGrowthMeans.csv,23,Cutthroat trout,Main Inputs/BaldockBioE/YOYGrowth_BioE_DesignFile_Means.csv,Upper Bar BC_2021-08-20_4_2021,0.1025,Weight,0.142,217,232,1,13560,0.241699,0.228,0.142,1.000,0.142,0.228,0.092,0.000,Main Inputs/BaldockBioE/Temperature Files/Temp_upperbarbc_SG_2021.csv,Main Inputs/BaldockBioE/Diet_prop_inverts.csv,Main Inputs/BaldockBioE/Prey_E_inverts_4000.csv,3,Main Inputs/BaldockBioE/Indigestible_Prey_inverts.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA
Tue Aug  1 15:11:47 2023,v1.1.5,/Users/jeffbaldock/Desktop/FishBioenergetics4.0/jim-breck-FB4-cc0e5f4,FB4_Log_File_BaldockYOYGrowthMeans.csv,23,Cutthroat trout,Main Inputs/BaldockBioE/YOYGrowth_BioE_DesignFile_Means.csv,Upper Bar BC_2021-09-09_1_2021,0.1484,Weight,0.582162162162162,232,252,1,13560,0.613434,1.486,0.582,1.000,0.582,1.486,0.118,0.000,Main Inputs/BaldockBioE/Temperature Files/Temp_upperbarbc_SG_2021.csv,Main Inputs/BaldockBioE/Diet_prop_inverts.csv,Main Inputs/BaldockBioE/Prey_E_inverts_4000.csv,3,Main Inputs/BaldockBioE/Indigestible_Prey_inverts.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA
Tue Aug  1 15:11:47 2023,v1.1.5,/Users/jeffbaldock/Desktop/FishBioenergetics4.0/jim-breck-FB4-cc0e5f4,FB4_Log_File_BaldockYOYGrowthMeans.csv,23,Cutthroat trout,Main Inputs/BaldockBioE/YOYGrowth_BioE_DesignFile_Means.csv,Upper Bar BC_2021-09-09_2_2021,0.1256,Weight,0.369,232,252,1,13560,0.472168,0.893,0.369,1.000,0.369,0.893,0.098,0.000,Main Inputs/BaldockBioE/Temperature Files/Temp_upperbarbc_SG_2021.csv,Main Inputs/BaldockBioE/Diet_prop_inverts.csv,Main Inputs/BaldockBioE/Prey_E_inverts_4000.csv,3,Main Inputs/BaldockBioE/Indigestible_Prey_inverts.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA
Tue Aug  1 15:11:48 2023,v1.1.5,/Users/jeffbaldock/Desktop/FishBioenergetics4.0/jim-breck-FB4-cc0e5f4,FB4_Log_File_BaldockYOYGrowthMeans.csv,23,Cutthroat trout,Main Inputs/BaldockBioE/YOYGrowth_BioE_DesignFile_Means.csv,Upper Bar BC_2021-09-09_3_2021,0.234210526315789,Weight,0.795555555555556,232,252,1,13560,0.614876,1.945,0.796,1.000,0.796,1.945,0.125,0.000,Main Inputs/BaldockBioE/Temperature Files/Temp_upperbarbc_SG_2021.csv,Main Inputs/BaldockBioE/Diet_prop_inverts.csv,Main Inputs/BaldockBioE/Prey_E_inverts_4000.csv,3,Main Inputs/BaldockBioE/Indigestible_Prey_inverts.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA
Tue Aug  1 15:11:48 2023,v1.1.5,/Users/jeffbaldock/Desktop/FishBioenergetics4.0/jim-breck-FB4-cc0e5f4,FB4_Log_File_BaldockYOYGrowthMeans.csv,23,Cutthroat trout,Main Inputs/BaldockBioE/YOYGrowth_BioE_DesignFile_Means.csv,Upper Bar BC_2021-09-09_4_2021,0.142,Weight,0.3052,232,252,1,13560,0.369385,0.670,0.305,1.000,0.305,0.670,0.099,0.000,Main Inputs/BaldockBioE/Temperature Files/Temp_upperbarbc_SG_2021.csv,Main Inputs/BaldockBioE/Diet_prop_inverts.csv,Main Inputs/BaldockBioE/Prey_E_inverts_4000.csv,3,Main Inputs/BaldockBioE/Indigestible_Prey_inverts.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA
Tue Aug  1 15:11:48 2023,v1.1.5,/Users/jeffbaldock/Desktop/FishBioenergetics4.0/jim-breck-FB4-cc0e5f4,FB4_Log_File_BaldockYOYGrowthMeans.csv,23,Cutthroat trout,Main Inputs/BaldockBioE/YOYGrowth_BioE_DesignFile_Means.csv,Upper Bar BC_2021-10-09_1_2021,0.582162162162162,Weight,1.16408163265306,252,282,1,13560,0.37738,2.565,1.164,1.000,1.164,2.565,0.153,0.000,Main Inputs/BaldockBioE/Temperature Files/Temp_upperbarbc_SG_2021.csv,Main Inputs/BaldockBioE/Diet_prop_inverts.csv,Main Inputs/BaldockBioE/Prey_E_inverts_4000.csv,3,Main Inputs/BaldockBioE/Indigestible_Prey_inverts.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA
Tue Aug  1 15:11:48 2023,v1.1.5,/Users/jeffbaldock/Desktop/FishBioenergetics4.0/jim-breck-FB4-cc0e5f4,FB4_Log_File_BaldockYOYGrowthMeans.csv,23,Cutthroat trout,Main Inputs/BaldockBioE/YOYGrowth_BioE_DesignFile_Means.csv,Upper Bar BC_2021-10-09_2_2021,0.369,Weight,1.3878,252,282,1,13560,0.57148,3.661,1.388,1.000,1.388,3.661,0.167,0.000,Main Inputs/BaldockBioE/Temperature Files/Temp_upperbarbc_SG_2021.csv,Main Inputs/BaldockBioE/Diet_prop_inverts.csv,Main Inputs/BaldockBioE/Prey_E_inverts_4000.csv,3,Main Inputs/BaldockBioE/Indigestible_Prey_inverts.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA
Tue Aug  1 15:11:48 2023,v1.1.5,/Users/jeffbaldock/Desktop/FishBioenergetics4.0/jim-breck-FB4-cc0e5f4,FB4_Log_File_BaldockYOYGrowthMeans.csv,23,Cutthroat trout,Main Inputs/BaldockBioE/YOYGrowth_BioE_DesignFile_Means.csv,Upper Bar BC_2021-10-09_3_2021,0.795555555555556,Weight,1.80265306122449,252,282,1,13560,0.453857,4.072,1.803,1.000,1.803,4.072,0.143,0.000,Main Inputs/BaldockBioE/Temperature Files/Temp_upperbarbc_SG_2021.csv,Main Inputs/BaldockBioE/Diet_prop_inverts.csv,Main Inputs/BaldockBioE/Prey_E_inverts_4000.csv,3,Main Inputs/BaldockBioE/Indigestible_Prey_inverts.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA
Tue Aug  1 15:11:48 2023,v1.1.5,/Users/jeffbaldock/Desktop/FishBioenergetics4.0/jim-breck-FB4-cc0e5f4,FB4_Log_File_BaldockYOYGrowthMeans.csv,23,Cutthroat trout,Main Inputs/BaldockBioE/YOYGrowth_BioE_DesignFile_Means.csv,Upper Bar BC_2021-10-09_4_2021,0.3052,Weight,1.243,252,282,1,13560,0.577248,3.342,1.243,1.000,1.243,3.342,0.165,0.000,Main Inputs/BaldockBioE/Temperature Files/Temp_upperbarbc_SG_2021.csv,Main Inputs/BaldockBioE/Diet_prop_inverts.csv,Main Inputs/BaldockBioE/Prey_E_inverts_4000.csv,3,Main Inputs/BaldockBioE/Indigestible_Prey_inverts.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA
Tue Aug  1 15:11:48 2023,v1.1.5,/Users/jeffbaldock/Desktop/FishBioenergetics4.0/jim-breck-FB4-cc0e5f4,FB4_Log_File_BaldockYOYGrowthMeans.csv,23,Cutthroat trout,Main Inputs/BaldockBioE/YOYGrowth_BioE_DesignFile_Means.csv,Upper Bar BC_2021-11-04_1_2021,1.16408163265306,Weight,1.793,282,308,1,13560,0.391052,2.906,1.793,1.000,1.793,2.906,0.139,0.000,Main Inputs/BaldockBioE/Temperature Files/Temp_upperbarbc_SG_2021.csv,Main Inputs/BaldockBioE/Diet_prop_inverts.csv,Main Inputs/BaldockBioE/Prey_E_inverts_4000.csv,3,Main Inputs/BaldockBioE/Indigestible_Prey_inverts.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA
Tue Aug  1 15:11:49 2023,v1.1.5,/Users/jeffbaldock/Desktop/FishBioenergetics4.0/jim-breck-FB4-cc0e5f4,FB4_Log_File_BaldockYOYGrowthMeans.csv,23,Cutthroat trout,Main Inputs/BaldockBioE/YOYGrowth_BioE_DesignFile_Means.csv,Upper Bar BC_2021-11-04_2_2021,1.3878,Weight,1.363125,282,308,1,13560,0.166199,1.189,1.363,1.000,1.363,1.189,0.138,0.000,Main Inputs/BaldockBioE/Temperature Files/Temp_upperbarbc_SG_2021.csv,Main Inputs/BaldockBioE/Diet_prop_inverts.csv,Main Inputs/BaldockBioE/Prey_E_inverts_4000.csv,3,Main Inputs/BaldockBioE/Indigestible_Prey_inverts.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA
Tue Aug  1 15:11:49 2023,v1.1.5,/Users/jeffbaldock/Desktop/FishBioenergetics4.0/jim-breck-FB4-cc0e5f4,FB4_Log_File_BaldockYOYGrowthMeans.csv,23,Cutthroat trout,Main Inputs/BaldockBioE/YOYGrowth_BioE_DesignFile_Means.csv,Upper Bar BC_2021-11-04_3_2021,1.80265306122449,Weight,2.03979166666667,282,308,1,13560,0.246277,2.240,2.040,1.000,2.040,2.240,0.136,0.000,Main Inputs/BaldockBioE/Temperature Files/Temp_upperbarbc_SG_2021.csv,Main Inputs/BaldockBioE/Diet_prop_inverts.csv,Main Inputs/BaldockBioE/Prey_E_inverts_4000.csv,3,Main Inputs/BaldockBioE/Indigestible_Prey_inverts.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA
Tue Aug  1 15:11:49 2023,v1.1.5,/Users/jeffbaldock/Desktop/FishBioenergetics4.0/jim-breck-FB4-cc0e5f4,FB4_Log_File_BaldockYOYGrowthMeans.csv,23,Cutthroat trout,Main Inputs/BaldockBioE/YOYGrowth_BioE_DesignFile_Means.csv,Upper Bar BC_2021-11-04_4_2021,1.243,Weight,1.905,282,308,1,13560,0.393433,3.060,1.905,1.000,1.905,3.060,0.155,0.000,Main Inputs/BaldockBioE/Temperature Files/Temp_upperbarbc_SG_2021.csv,Main Inputs/BaldockBioE/Diet_prop_inverts.csv,Main Inputs/BaldockBioE/Prey_E_inverts_4000.csv,3,Main Inputs/BaldockBioE/Indigestible_Prey_inverts.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA
Tue Aug  1 15:11:49 2023,v1.1.5,/Users/jeffbaldock/Desktop/FishBioenergetics4.0/jim-breck-FB4-cc0e5f4,FB4_Log_File_BaldockYOYGrowthMeans.csv,23,Cutthroat trout,Main Inputs/BaldockBioE/YOYGrowth_BioE_DesignFile_Means.csv,Blacktail_2021-08-20_1_2021,0.11010101010101,Weight,0.137551020408163,217,232,1,13560,0.20752,0.197,0.137,1.000,0.137,0.197,0.080,0.000,Main Inputs/BaldockBioE/Temperature Files/Temp_blacktail_1A_2021.csv,Main Inputs/BaldockBioE/Diet_prop_inverts.csv,Main Inputs/BaldockBioE/Prey_E_inverts_4000.csv,3,Main Inputs/BaldockBioE/Indigestible_Prey_inverts.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA
