day,temperature
1,1
213,11.62875
214,11.15208333
215,11.55666667
216,11.1925
217,10.05875
218,9.990833333
219,10.77958333
220,11.05333333
221,11.25875
222,11.27875
223,12.09375
224,11.54708333
225,11.21666667
226,11.41958333
227,11.49333333
228,11.47708333
229,11.62125
230,11.575
231,11.32958333
232,11.28
233,11.04958333
234,10.65041667
235,10.8275
236,10.84416667
237,11.94541667
238,11.36833333
239,10.73583333
240,10.92458333
241,10.72375
242,10.7675
243,10.7825
244,10.92416667
245,10.68958333
246,10.87208333
247,10.86791667
248,10.47708333
249,10.38458333
250,10.46583333
251,10.46708333
252,9.425833333
253,8.781666667
254,8.778333333
255,8.753333333
256,8.0425
257,9.05
258,8.809166667
259,7.834166667
260,7.794583333
261,8.490416667
262,8.687916667
263,8.267916667
264,8.724166667
265,8.57375
266,8.235833333
267,7.74375
268,8.064166667
269,8.319166667
270,8.075
271,7.9825
272,7.916666667
273,7.888333333
274,6.613333333
275,6.837916667
276,7.339583333
277,7.213333333
278,7.117083333
279,7.1225
280,7.211666667
281,6.7725
282,6.644166667
283,6.332083333
284,6.069583333
285,6.189583333
286,6.031666667
287,5.588333333
288,5.722083333
289,5.640416667
290,5.595833333
291,5.647916667
292,5.487083333
293,5.058333333
294,5.50875
295,5.56375
296,3.807083333
297,3.709166667
298,3.79375
299,2.339583333
300,3.03375
301,2.4025
302,1.741538462
365,1
