day,temperature
1,1
213,11.80975
214,10.91702083
215,11.70810417
216,11.40647917
217,11.010375
218,10.1101875
219,10.824125
220,11.00091667
221,11.16941667
222,10.82345833
223,11.12685417
224,11.46979167
225,11.56266667
226,11.30910417
227,11.19979167
228,10.73741667
229,10.49516667
230,9.490395833
231,9.794291667
232,10.19404167
233,9.459458333
234,10.48366667
235,10.46502083
236,10.35391667
237,10.5538125
238,10.15341667
239,10.18345833
240,10.3086875
241,10.39779167
242,10.28689583
243,10.20285417
244,10.11210417
245,9.791208333
246,10.34477083
247,9.792854167
248,9.9845
249,10.0280625
250,10.097375
251,10.24379167
252,10.3515625
253,10.14222917
254,10.80883333
255,9.943708333
256,10.329375
257,9.816520833
258,9.749979167
259,9.522895833
260,9.3941875
261,9.404145833
262,8.954208333
263,8.894479167
264,9.085125
265,9.264895833
266,9.384520833
267,9.489395833
268,9.563833333
269,9.6036875
270,9.434541667
271,9.040479167
272,8.8775625
273,8.591958333
274,8.767291667
275,8.846604167
276,8.719125
277,8.713916667
278,8.821583333
279,9.6439375
280,8.244979167
281,8.670979167
282,8.630145833
283,8.739041667
284,8.290729167
285,7.227166667
286,7.108583333
287,7.093625
288,7.5431875
289,7.7309375
290,7.9228125
291,7.971833333
292,8.194854167
293,8.204729167
294,8.287333333
295,8.1836875
296,7.8573125
297,7.585854167
298,8.035875
299,7.660729167
300,6.876916667
301,7.351916667
302,7.839416667
303,8.0628125
304,7.4323125
305,7.959291667
306,7.8663125
307,8.101520833
308,7.589083333
309,7.398854167
365,1
