day,temperature
1,1
213,14.08333333
214,13.52416667
215,13.93041667
216,13.86916667
217,13.92083333
218,12.51041667
219,12.13375
220,13.06541667
221,12.86166667
222,11.98583333
223,12.56375
224,13.68166667
225,13.81166667
226,13.55833333
227,13.17916667
228,12.93583333
229,13.1125
230,10.70833333
231,9.994166667
232,9.6475
233,8.883333333
234,10.415
235,11.26583333
236,11.56458333
237,11.89666667
238,10.5075
239,10.59375
240,10.61083333
241,10.57125
242,10.64916667
243,10.71208333
244,10.83625
245,9.367083333
246,10.78
247,9.559166667
248,9.689583333
249,10.165
250,10.195
251,10.48916667
252,10.71
253,10.71666667
254,12.04958333
255,10.42583333
256,10.98333333
257,9.505416667
258,9.289166667
259,9.257083333
260,8.582916667
261,8.167916667
262,8.269166667
263,6.975416667
264,7.122916667
265,7.5475
266,8.25875
267,8.2575
268,8.450416667
269,8.68625
270,8.419166667
271,7.758333333
272,7.182916667
273,6.38375
274,6.4175
275,6.59
276,6.268333333
277,6.325833333
278,6.912083333
279,8.704166667
280,7.226666667
281,6.990416667
282,6.42
283,6.5275
284,6.744583333
285,5.865
286,4.7925
287,3.906666667
288,3.9475
289,4.199166667
290,4.552083333
291,5.30375
292,6.039583333
293,5.453333333
294,5.597083333
295,5.20625
296,5.123333333
297,4.965
298,5.86375
299,5.450416667
300,4.475
301,5.399166667
302,5.004583333
303,5.185833333
304,3.685833333
304,5.324545455
305,5.459583333
306,5.563333333
307,4.905833333
308,4.394166667
309,4.975833333
365,1
