stream,date,priordate,section,year,catch,priorcatch,NRun,Run_Name,Species_Num,Species_txt,Initial_W,fit.to,fit.to.value,First_day,Last_day,N_indiv,Oxycal,calc.pop_mort,calc.spawn,calc.nut,calc.contaminant,Init_pred_conc,contam_eq,T_File,Diet_File,Prey_E_File,Indigest_Prey_File,Pred_E_File,Mort_File,Reprod_File,Contam_Prey_C_File,Contam_assim_File,Contam_TE_File,Phos_Ae_File,Phos_Co_Pred_File,Phos_Co_Prey_File,Nit_Ae_File,Nit_Co_Pred_File,Nit_Co_Prey_File,FB4_Log_File,Save_Daily_Output,Daily_Output_File
Upper Bar BC,2021-08-20,2021-08-05,1,2021,100,50,1,Upper Bar BC_2021-08-20_1_2021,23,Cutthroat trout,0.1625,Weight,0.1484,217,232,1,13560,FALSE,FALSE,FALSE,FALSE,NA,NA,Main Inputs/BaldockBioE/Temperature Files/Temp_upperbarbc_SG_2021.csv,Main Inputs/BaldockBioE/Diet_prop_inverts.csv,Main Inputs/BaldockBioE/Prey_E_inverts_4000.csv,Main Inputs/BaldockBioE/Indigestible_Prey_inverts.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FB4_Log_File_BaldockYOYGrowthMeans.csv,FALSE,NA
Upper Bar BC,2021-08-20,2021-08-05,2,2021,70,50,2,Upper Bar BC_2021-08-20_2_2021,23,Cutthroat trout,0.105,Weight,0.12560000000000002,217,232,1,13560,FALSE,FALSE,FALSE,FALSE,NA,NA,Main Inputs/BaldockBioE/Temperature Files/Temp_upperbarbc_SG_2021.csv,Main Inputs/BaldockBioE/Diet_prop_inverts.csv,Main Inputs/BaldockBioE/Prey_E_inverts_4000.csv,Main Inputs/BaldockBioE/Indigestible_Prey_inverts.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FB4_Log_File_BaldockYOYGrowthMeans.csv,FALSE,NA
Upper Bar BC,2021-08-20,2021-08-05,3,2021,13,38,3,Upper Bar BC_2021-08-20_3_2021,23,Cutthroat trout,0.1076923076923077,Weight,0.23421052631578948,217,232,1,13560,FALSE,FALSE,FALSE,FALSE,NA,NA,Main Inputs/BaldockBioE/Temperature Files/Temp_upperbarbc_SG_2021.csv,Main Inputs/BaldockBioE/Diet_prop_inverts.csv,Main Inputs/BaldockBioE/Prey_E_inverts_4000.csv,Main Inputs/BaldockBioE/Indigestible_Prey_inverts.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FB4_Log_File_BaldockYOYGrowthMeans.csv,FALSE,NA
Upper Bar BC,2021-08-20,2021-08-05,4,2021,20,50,4,Upper Bar BC_2021-08-20_4_2021,23,Cutthroat trout,0.10250000000000001,Weight,0.14200000000000002,217,232,1,13560,FALSE,FALSE,FALSE,FALSE,NA,NA,Main Inputs/BaldockBioE/Temperature Files/Temp_upperbarbc_SG_2021.csv,Main Inputs/BaldockBioE/Diet_prop_inverts.csv,Main Inputs/BaldockBioE/Prey_E_inverts_4000.csv,Main Inputs/BaldockBioE/Indigestible_Prey_inverts.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FB4_Log_File_BaldockYOYGrowthMeans.csv,FALSE,NA
Upper Bar BC,2021-09-09,2021-08-20,1,2021,50,37,5,Upper Bar BC_2021-09-09_1_2021,23,Cutthroat trout,0.1484,Weight,0.5821621621621622,232,252,1,13560,FALSE,FALSE,FALSE,FALSE,NA,NA,Main Inputs/BaldockBioE/Temperature Files/Temp_upperbarbc_SG_2021.csv,Main Inputs/BaldockBioE/Diet_prop_inverts.csv,Main Inputs/BaldockBioE/Prey_E_inverts_4000.csv,Main Inputs/BaldockBioE/Indigestible_Prey_inverts.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FB4_Log_File_BaldockYOYGrowthMeans.csv,FALSE,NA
Upper Bar BC,2021-09-09,2021-08-20,2,2021,50,50,6,Upper Bar BC_2021-09-09_2_2021,23,Cutthroat trout,0.12560000000000002,Weight,0.369,232,252,1,13560,FALSE,FALSE,FALSE,FALSE,NA,NA,Main Inputs/BaldockBioE/Temperature Files/Temp_upperbarbc_SG_2021.csv,Main Inputs/BaldockBioE/Diet_prop_inverts.csv,Main Inputs/BaldockBioE/Prey_E_inverts_4000.csv,Main Inputs/BaldockBioE/Indigestible_Prey_inverts.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FB4_Log_File_BaldockYOYGrowthMeans.csv,FALSE,NA
Upper Bar BC,2021-09-09,2021-08-20,3,2021,38,9,7,Upper Bar BC_2021-09-09_3_2021,23,Cutthroat trout,0.23421052631578948,Weight,0.7955555555555556,232,252,1,13560,FALSE,FALSE,FALSE,FALSE,NA,NA,Main Inputs/BaldockBioE/Temperature Files/Temp_upperbarbc_SG_2021.csv,Main Inputs/BaldockBioE/Diet_prop_inverts.csv,Main Inputs/BaldockBioE/Prey_E_inverts_4000.csv,Main Inputs/BaldockBioE/Indigestible_Prey_inverts.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FB4_Log_File_BaldockYOYGrowthMeans.csv,FALSE,NA
Upper Bar BC,2021-09-09,2021-08-20,4,2021,50,50,8,Upper Bar BC_2021-09-09_4_2021,23,Cutthroat trout,0.14200000000000002,Weight,0.3052,232,252,1,13560,FALSE,FALSE,FALSE,FALSE,NA,NA,Main Inputs/BaldockBioE/Temperature Files/Temp_upperbarbc_SG_2021.csv,Main Inputs/BaldockBioE/Diet_prop_inverts.csv,Main Inputs/BaldockBioE/Prey_E_inverts_4000.csv,Main Inputs/BaldockBioE/Indigestible_Prey_inverts.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FB4_Log_File_BaldockYOYGrowthMeans.csv,FALSE,NA
Upper Bar BC,2021-10-09,2021-09-09,1,2021,37,49,9,Upper Bar BC_2021-10-09_1_2021,23,Cutthroat trout,0.5821621621621622,Weight,1.1640816326530612,252,282,1,13560,FALSE,FALSE,FALSE,FALSE,NA,NA,Main Inputs/BaldockBioE/Temperature Files/Temp_upperbarbc_SG_2021.csv,Main Inputs/BaldockBioE/Diet_prop_inverts.csv,Main Inputs/BaldockBioE/Prey_E_inverts_4000.csv,Main Inputs/BaldockBioE/Indigestible_Prey_inverts.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FB4_Log_File_BaldockYOYGrowthMeans.csv,FALSE,NA
Upper Bar BC,2021-10-09,2021-09-09,2,2021,50,50,10,Upper Bar BC_2021-10-09_2_2021,23,Cutthroat trout,0.369,Weight,1.3878,252,282,1,13560,FALSE,FALSE,FALSE,FALSE,NA,NA,Main Inputs/BaldockBioE/Temperature Files/Temp_upperbarbc_SG_2021.csv,Main Inputs/BaldockBioE/Diet_prop_inverts.csv,Main Inputs/BaldockBioE/Prey_E_inverts_4000.csv,Main Inputs/BaldockBioE/Indigestible_Prey_inverts.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FB4_Log_File_BaldockYOYGrowthMeans.csv,FALSE,NA
