stream,location,site,lat,long,date,meanT,maxT,minT,sdT
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-07-22,18.64111111,20.42,15.83,1.669262146
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-07-23,16.265,21.28,12.4,2.96389139
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-07-24,16.63666667,22.52,11.54,3.903247997
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-07-25,16.83375,21.4,12.61,3.06085355
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-07-26,16.82166667,21.96,12.1,3.534401944
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-07-27,17.025,21.7,12.65,3.124714944
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-07-28,17.18375,20.33,15.4,1.40228017
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-07-29,16.55291667,20.07,14.45,1.832367153
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-07-30,15.89166667,20.42,13.25,2.058810688
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-07-31,15.60583333,18.32,13.81,1.557991786
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-08-01,17.60666667,22.61,13.73,3.213701194
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-08-02,16.13541667,19.43,13.9,1.728024706
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-08-03,17.48791667,22.01,14.5,2.632132511
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-08-04,17.30541667,22.43,13.04,3.253113531
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-08-05,16.53583333,19.86,12.91,2.528534404
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-08-06,14.17208333,15.61,12.35,0.890695767
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-08-07,14.02125,19.26,9.48,3.53338034
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-08-08,15.24916667,20.2,10.64,3.351492746
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-08-09,15.57583333,20.68,11.37,3.084582865
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-08-10,14.51083333,20.46,9.48,3.723317731
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-08-11,15.40625,21.49,10.04,4.015991742
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-08-12,16.87291667,23.03,11.67,4.037982147
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-08-13,17.39916667,23.34,12.48,3.82415767
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-08-14,17.11583333,22.43,12.78,3.293520538
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-08-15,16.72791667,21.66,13.12,3.013410576
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-08-16,16.02791667,21.28,11.41,3.376635809
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-08-17,15.52,18.74,12.74,1.795145628
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-08-18,12.73291667,14.58,11.37,0.869419992
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-08-19,11.97541667,13.98,10.85,1.044638399
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-08-20,11.11708333,13.6,9.82,1.257203519
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-08-21,10.075,13.21,7.63,1.666715072
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-08-22,10.46541667,13.94,7.89,1.955536131
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-08-23,12.22666667,16.81,8.62,3.11284529
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-08-24,12.68708333,16.17,9.65,2.290987027
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-08-25,13.47708333,18.66,9.78,3.232033253
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-08-26,12.69458333,16.56,9.39,2.514127006
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-08-27,12.06416667,16.69,8.15,2.973017669
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-08-28,11.61916667,17.16,7.08,3.455444245
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-08-29,11.96625,18.06,7.03,3.910954306
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-08-30,12.2825,17.54,7.93,3.350143735
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-08-31,12.27583333,16.94,8.49,2.891106177
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-09-01,12.26666667,16.6,8.71,2.790701434
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-09-02,11.09916667,14.84,7.93,2.234276299
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-09-03,11.8575,16.77,8.53,2.949398244
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-09-04,10.21833333,15.31,6.22,3.021520876
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-09-05,10.46625,16.43,5.57,3.818641703
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-09-06,10.98708333,16.17,6.6,3.327907659
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-09-07,11.4875,16.99,6.95,3.525818129
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-09-08,11.97125,17.5,7.55,3.459760374
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-09-09,12.28416667,17.72,7.85,3.441780273
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-09-10,12.09166667,16,8.58,2.590476986
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-09-11,13.67791667,17.8,10.94,2.32647892
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-09-12,11.285,15.31,7.68,2.60050664
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-09-13,11.47708333,15.96,7.89,2.729770621
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-09-14,10.25541667,15.18,6.26,3.027604849
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-09-15,9.747916667,14.97,5.53,3.222136719
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-09-16,9.701666667,14.15,6.22,2.750231084
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-09-17,9.09625,14.24,4.84,3.28951009
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-09-18,9.196666667,12.7,5.79,2.391178837
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-09-19,8.7775,9.78,6.9,0.789607773
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-09-20,6.8075,9.09,5.23,1.281250239
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-09-21,6.43875,11.24,2.91,2.887035959
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-09-22,6.880416667,11.97,3,3.171353406
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-09-23,7.698333333,12.31,4.2,2.899435727
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-09-24,8.02625,12.91,4.33,2.986718153
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-09-25,8.21875,13.17,4.46,3.056894293
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-09-26,8.510833333,13.43,4.89,2.97164852
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-09-27,8.339583333,13.08,4.8,2.894997904
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-09-28,7.293333333,10.46,4.93,1.830233216
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-09-29,6.42125,10.16,3.82,2.062274625
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-09-30,5.234166667,9.65,1.88,2.640342397
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-10-01,5.087083333,9.74,1.63,2.843710802
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-10-02,5.345833333,9.99,2.01,2.74491295
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-10-03,5.075,9.61,1.71,2.739796882
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-10-04,5.048333333,9.56,1.71,2.749113164
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-10-05,5.566666667,9.69,2.14,2.743830497
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-10-06,7.303333333,9.65,5.75,1.457674344
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-10-07,6.11375,7.72,4.67,1.041102311
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-10-08,6.773333333,8.66,5.49,1.073748682
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-10-09,5.56875,6.17,4.84,0.429725013
blackrock,1A,blackrock_1A,43.82332,-110.34892,2021-10-10,5.132916667,6.78,3.9,0.99413707
