stream,tempsite,year,date,priordate,section,meantempper,avgredds,basin_areasqkm,springprev_point_norm,springprev_basinmean_norm,springprev_iew01km_norm,springprev_iew05km_norm,springprev_iew01km_log_norm,springprev_iew05km_log_norm,seclen,elap,catch,density,cpue,effabun,effden_permeter,lenmean,lensd,lenmed,wtmean,wtsd,wtmed,priorcatch,priorlenmean,priorwtmean,doy,density_log,cpue_log,effden_permeter_log,avgredds_log,strid,yrid,sectid
Upper Bar BC,upperbarbc_SG,2021,2021-08-05,2021-08-01,1,11.2604947925,NA,5.737212268229257,0.5274349904234408,0.8337598623194578,0.7464046022364514,0.8324666876315442,0.942527279101443,0.9632537152324044,150,31.65,102,0.68,3.2227488151658767,71214,474.76,26.137254901960784,3.894752030608139,25,0.1625,0.09345635831280238,0.13,NA,NA,NA,217,-0.3710636813908319,1.1733328016840905,6.162830476240552,NA,12,1,12.1
Upper Bar BC,upperbarbc_SG,2021,2021-08-05,2021-08-01,2,11.2604947925,NA,1.0721637327812,0.510889410385717,0.7885993465795321,0.717990419960077,0.7902531464634588,0.9349109045103215,0.9528347582868584,111,27.8,70,0.6306306306306306,2.5179856115107913,36396,327.8918918918919,22.6,3.0522028158340833,22,0.105,0.05539711707038684,0.09,NA,NA,NA,217,-0.44530222741690756,0.9274227846192011,5.792714453556104,NA,12,1,12.2
Upper Bar BC,upperbarbc_SG,2021,2021-08-05,2021-08-01,3,11.2604947925,NA,4.588540510159026,0.5701279963468117,0.8663072979306295,0.7765301805756214,0.8654425994835618,0.9502946353498796,0.9710344963093296,150,17.45,13,0.08666666666666667,0.7449856733524356,7596,50.64,24.153846153846153,0.9870962335856492,24,0.1076923076923077,0.01363442099604658,0.11,NA,NA,NA,217,-2.336486644669727,-0.28105650560529133,3.9249392306946924,NA,12,1,12.3
Upper Bar BC,upperbarbc_SG,2021,2021-08-05,2021-08-01,4,11.2604947925,NA,4.529905924183394,0.5572943803106315,0.8725467259979143,0.7832363532900656,0.871971222320946,0.9519830038280476,0.9725400272049536,150,27.11666667,20,0.13333333333333333,0.7375537798724581,10620,70.8,23,1.4509525002200232,23,0.1025,0.0224487720916101,0.1,NA,NA,NA,217,-1.9425823589626385,-0.29094902998763805,4.260000233663683,NA,12,1,12.4
Upper Bar BC,upperbarbc_SG,2021,2021-08-20,2021-08-05,1,10.753841668666666,NA,5.737212268229257,0.5274349904234408,0.8337598623194578,0.7464046022364514,0.8324666876315442,0.942527279101443,0.9632537152324044,150,33.5,129,0.86,3.850746268656717,82019,546.7933333333333,26.7,4.214890997694837,25.5,0.1484,0.11969962405956004,0.115,102,26.137254901960784,0.1625,232,-0.13926206733350766,1.3508604986390498,6.3040892009053415,NA,12,1,12.1
Upper Bar BC,upperbarbc_SG,2021,2021-08-20,2021-08-05,2,10.753841668666666,NA,1.0721637327812,0.510889410385717,0.7885993465795321,0.717990419960077,0.7902531464634588,0.9349109045103215,0.9528347582868584,111,28.83333333,173,1.5585585585585586,6.000000000693642,103778,934.936936936937,25.48,3.0920569733642704,24,0.12560000000000002,0.07088824202322172,0.1,70,22.6,0.105,232,0.450157082066173,1.7934247486625308,6.84048977573913,NA,12,1,12.2
Upper Bar BC,upperbarbc_SG,2021,2021-08-20,2021-08-05,3,10.753841668666666,NA,4.588540510159026,0.5701279963468117,0.8663072979306295,0.7765301805756214,0.8654425994835618,0.9502946353498796,0.9710344963093296,150,17.16666667,38,0.25333333333333335,2.213592232579885,36365,242.43333333333337,30.76315789473684,3.299747824323122,31.5,0.23421052631578948,0.08179181148955274,0.25,13,24.153846153846153,0.1076923076923077,232,-1.3343346221891794,0.7991240109177917,5.490768006094874,NA,12,1,12.3
Upper Bar BC,upperbarbc_SG,2021,2021-08-20,2021-08-05,4,10.753841668666666,NA,4.529905924183394,0.5572943803106315,0.8725467259979143,0.7832363532900656,0.871971222320946,0.9519830038280476,0.9725400272049536,150,29.88333333,121,0.8066666666666666,4.049079755052881,100204,668.0266666666666,26.8,2.8284271247461903,26,0.14200000000000002,0.06269459502140483,0.12,20,23,0.1025,232,-0.2025242641114741,1.4009562866050584,6.504343062249793,NA,12,1,12.4
Upper Bar BC,upperbarbc_SG,2021,2021-09-09,2021-08-20,1,10.17976041715,NA,5.737212268229257,0.5274349904234408,0.8337598623194578,0.7464046022364514,0.8324666876315442,0.942527279101443,0.9632537152324044,150,22,37,0.24666666666666667,1.681818181818182,61743,411.62,40.351351351351354,6.451598493638853,39,0.5821621621621622,0.2967334675272588,0.53,129,26.7,0.1484,252,-1.3599770528025172,0.525803797855789,6.0201248876011935,NA,12,1,12.1
Upper Bar BC,upperbarbc_SG,2021,2021-09-09,2021-08-20,2,10.17976041715,NA,1.0721637327812,0.510889410385717,0.7885993465795321,0.717990419960077,0.7902531464634588,0.9349109045103215,0.9528347582868584,111,18.08333333,75,0.6756756756756757,4.147465438552529,85562,770.8288288288288,33.02,8.830582295266229,31,0.369,0.382378432061907,0.23,173,25.48,0.12560000000000002,252,-0.37735053903303395,1.4249056190143197,6.647479309984511,NA,12,1,12.2
