stream,date,section,seclen,elap,catch,density,cpue,year,effabun,effden_permeter
3 Channel,2021-08-06,1,150,54.1,304,2.026666666666667,5.619223659889094,2021,188869,1259.1266666666668
3 Channel,2021-08-06,2,150,27.71666667,170,1.1333333333333333,6.133493685371799,2021,227723,1518.1533333333334
3 Channel,2021-08-06,3,150,41,98,0.6533333333333333,2.3902439024390243,2021,74138,494.25333333333333
3 Channel,2021-08-06,4,150,38.8,348,2.32,8.969072164948454,2021,221436,1476.24
3 Channel,2021-08-22,1,150,47.78333333,182,1.2133333333333334,3.808859435215128,2021,289797,1931.98
3 Channel,2021-08-22,2,150,24.78333333,85,0.5666666666666667,3.4297242775292163,2021,69603,464.02
3 Channel,2021-08-22,3,150,25.75,34,0.22666666666666666,1.3203883495145632,2021,37275,248.5
3 Channel,2021-08-22,4,150,31.45,215,1.4333333333333333,6.836248012718601,2021,142727,951.5133333333333
3 Channel,2021-09-14,1,150,39.93333333,47,0.31333333333333335,1.1769616027693623,2021,99730,664.8666666666667
3 Channel,2021-09-14,2,150,26.88333333,44,0.29333333333333333,1.6367017980950653,2021,75357,502.38
3 Channel,2021-09-14,3,150,30.86666667,23,0.15333333333333332,0.7451403886884298,2021,65660,437.73333333333335
3 Channel,2021-09-14,4,150,51.6,112,0.7466666666666667,2.1705426356589146,2021,253582,1690.5466666666666
3 Channel,2021-10-06,1,150,40.96666667,144,0.96,3.5150528882412484,2021,441079,2940.5266666666666
3 Channel,2021-10-06,2,150,26.36666667,168,1.12,6.371681415123681,2021,697015,4646.766666666666
3 Channel,2021-10-06,3,150,22.78333333,76,0.5066666666666667,3.3357717634726805,2021,337832,2252.213333333333
3 Channel,2021-10-06,4,150,43.83333333,175,1.1666666666666667,3.9923954375659614,2021,795281,5301.873333333333
3 Channel,2021-11-02,1,150,36.28333333,120,0.8,3.3073036291508777,2021,456107,3040.713333333333
3 Channel,2021-11-02,2,150,30.85,99,0.66,3.2090761750405186,2021,469873,3132.4866666666667
3 Channel,2021-11-02,3,150,30.61666667,97,0.6466666666666666,3.1682090361275765,2021,421855,2812.366666666667
3 Channel,2021-11-02,4,150,30.86666667,113,0.7533333333333333,3.6609071270344593,2021,586777,3911.846666666667
3 Channel,2022-08-03,1,150,38.25,13,0.08666666666666667,0.33986928104575165,2022,16214,108.09333333333333
3 Channel,2022-08-03,2,150,37.38333333,24,0.16,0.6419973250683904,2022,30439,202.92666666666668
3 Channel,2022-08-03,3,150,26.48333333,29,0.19333333333333333,1.0950283198357493,2022,42186,281.24
3 Channel,2022-08-03,4,150,37.53333333,87,0.58,2.3179396094420905,2022,107225,714.8333333333334
3 Channel,2022-08-25,1,150,37.58333333,36,0.24,0.9578713969807424,2022,55009,366.7266666666667
3 Channel,2022-08-25,2,150,29.7,68,0.4533333333333333,2.28956228956229,2022,167570,1117.1333333333334
3 Channel,2022-08-25,3,150,26.21666667,32,0.21333333333333335,1.2205975840787544,2022,62827,418.8466666666667
3 Channel,2022-08-25,4,150,28.31666667,127,0.8466666666666667,4.484991170749265,2022,229379,1529.1933333333334
3 Channel,2022-09-16,1,150,33.56666667,104,0.6933333333333334,3.0983118169713695,2022,252240,1681.6
3 Channel,2022-09-16,2,150,18.88333333,30,0.2,1.5887025598567879,2022,72927,486.18
3 Channel,2022-09-16,3,150,26.25,53,0.35333333333333333,2.019047619047619,2022,150017,1000.1133333333333
3 Channel,2022-09-16,4,150,21.75,88,0.5866666666666667,4.045977011494253,2022,184947,1232.98
3 Channel,2022-10-05,1,150,34.65,90,0.6,2.5974025974025974,2022,255859,1705.7266666666667
3 Channel,2022-10-05,2,150,20.33333333,30,0.2,1.4754098363074444,2022,98605,657.3666666666667
3 Channel,2022-10-05,3,150,26.16666667,27,0.18,1.0318471336265163,2022,80405,536.0333333333333
3 Channel,2022-10-05,4,103,15.7,38,0.36893203883495146,2.4203821656050954,2022,109538,1063.4757281553398
3 Channel,2022-11-02,1,150,28.38333333,76,0.5066666666666667,2.677627716110115,2022,275106,1834.04
3 Channel,2022-11-02,2,150,18.53333333,49,0.32666666666666666,2.6438848925618497,2022,374346,2495.64
3 Channel,2022-11-02,3,150,25.3,50,0.3333333333333333,1.976284584980237,2022,968852,6459.013333333333
3 Channel,2022-11-02,4,150,25.53333333,92,0.6133333333333333,3.603133159739312,2022,666554,4443.693333333334
Blackrock,2021-08-10,1,150,NA,0,0,0,NA,0,0
Blackrock,2021-08-10,2,150,20.55,1,0.006666666666666667,0.048661800486618,2021,3675,24.5
Blackrock,2021-08-10,3,150,9.566666667,1,0.006666666666666667,0.10452961672109654,2021,1369,9.126666666666667
Blackrock,2021-08-10,4,150,15.55,3,0.02,0.19292604501607716,2021,3797,25.313333333333333
Blackrock,2021-08-31,1,150,NA,0,0,0,NA,0,0
Blackrock,2021-08-31,2,150,NA,0,0,0,NA,0,0
Blackrock,2021-08-31,3,150,14.43333333,3,0.02,0.20785219404338387,2021,19952,133.01333333333332
Blackrock,2021-08-31,4,150,10.13333333,1,0.006666666666666667,0.09868421055877771,2021,4232,28.213333333333335
Blackrock,2021-09-16,1,150,NA,0,0,0,NA,0,0
Blackrock,2021-09-16,2,150,NA,0,0,0,NA,0,0
Blackrock,2021-09-16,3,150,NA,0,0,0,NA,0,0
