stream,date,section,lenmean,lensd,lenmed,wtmean,wtsd,wtmed
3 Channel,2021-08-06,1,24.46,2.0425074625797275,24,0.1118,0.049474380094290074,0.1
3 Channel,2021-08-06,2,26.5,3.529756885887382,25.5,0.151,0.08716041977589487,0.125
3 Channel,2021-08-06,3,27.20408163265306,4.076483181283597,27,0.1720618556701031,0.14625134005319046,0.15
3 Channel,2021-08-06,4,25.38,4.518827057965151,25,0.1427,0.1741406316629166,0.11
3 Channel,2021-08-22,1,29.92156862745098,6.193038469943173,30,0.2438,0.16586064964915825,0.22
3 Channel,2021-08-22,2,31.85,4.8067794005059366,31,0.2575,0.1410719038337615,0.22
3 Channel,2021-08-22,3,32.44117647058823,6.724857445692372,33,0.32,0.19924098397912438,0.305
3 Channel,2021-08-22,4,27.76,4.67542424136406,25,0.1784,0.12137578684668973,0.12
3 Channel,2021-09-14,1,45.191489361702125,9.020841322646277,45,0.8525531914893617,0.6458882259106662,0.71
3 Channel,2021-09-14,2,40.29545454545455,9.539585933811987,39.5,0.6875,0.4881246743142766,0.545
3 Channel,2021-09-14,3,52.869565217391305,7.893059942564544,56,1.5265217391304349,0.5458072311694285,1.61
3 Channel,2021-09-14,4,46,10.034633902191969,46,0.975,0.7659947514073927,0.84
3 Channel,2021-10-06,1,58.58,10.548411235434308,57,2.3094,1.894226900616821,1.9049999999999998
3 Channel,2021-10-06,2,61.63265306122449,12.997906686512737,61,2.766530612244898,2.0261946589403417,2.26
3 Channel,2021-10-06,3,66.83673469387755,10.069233127816284,64,3.2448979591836733,1.5002265418498462,2.66
3 Channel,2021-10-06,4,62,12.74234464055872,63.5,2.6188,1.4135837218840313,2.455
3 Channel,2021-11-02,1,63.285714285714285,9.41851014403729,64,2.486938775510204,1.1499297153913957,2.39
3 Channel,2021-11-02,2,63.88,9.813859420976739,65,2.6056,1.0307994915776466,2.56
3 Channel,2021-11-02,3,67.14,8.982999817114866,66.5,3.3404,1.4652491046834017,3.21
3 Channel,2021-11-02,4,62.9,10.751838950445944,60,2.6946,1.5855356527440336,2.19
3 Channel,2022-08-03,1,31.53846153846154,16.54093601047305,25,0.5507692307692308,1.0723918868465758,0.11
3 Channel,2022-08-03,2,34.041666666666664,10.68716892868008,28,0.46375,0.4357683119951822,0.20500000000000002
3 Channel,2022-08-03,3,38,3.3273756282434617,39,0.536896551724138,0.11653029796935897,0.53
