stream,date,priordate,reach,year,growthwtmean,growthwtsd,growthwtq5,growthwtq25,growthwtq50,growthwtq75,growthwtq95
Upper Bar BC,2021-11-04,2021-08-05,1,2021,2.7247234546096264,0.6867052521786017,1.5608964777523742,2.250211915785995,2.7524619679941926,3.2232810932183673,3.77361231262104
Upper Bar BC,2021-11-04,2021-08-05,2,2021,2.7739837754713617,0.7405388716611865,1.7006181414461676,2.2430992624831183,2.7775203608060934,3.245244680368346,3.944323738046454
Upper Bar BC,2021-11-04,2021-08-05,3,2021,3.1620311088358544,0.3962346642522307,2.55988191858678,2.923953094782049,3.1269834743969422,3.396749948745402,3.7557436083663363
Upper Bar BC,2021-11-04,2021-08-05,4,2021,3.127013577283045,0.5586015203855914,2.2948686693374527,2.775525982756325,3.165274261041998,3.5328217620556726,3.9590953352313454
Blacktail,2021-11-04,2021-08-05,1,2021,3.103580153123926,0.6841993214692565,1.9580241056200867,2.7136992433878024,3.124142328573166,3.486623437759204,4.243844635434701
Blacktail,2021-11-04,2021-08-05,2,2021,3.233405473436686,0.8261400653853445,2.089954010243262,2.7306666481186825,3.2049898012789537,3.6573938041709506,4.726436892461774
Blacktail,2021-11-04,2021-08-05,3,2021,2.667444939548794,0.502014457872944,1.8733495519103576,2.3224757650604144,2.644094254873501,3.029494906891914,3.4614098388804937
Blacktail,2021-11-04,2021-08-05,4,2021,3.5986477308160296,0.327180057269174,3.055352596353666,3.396749948745402,3.5742712991324312,3.823120734534164,4.179651469069165
Lower Bar BC,2021-11-02,2021-08-06,1,2021,2.9691927470777957,0.8227273639269956,1.6125956635714565,2.3867493163412274,3.023022201438479,3.556868876319983,4.285360854944214
Lower Bar BC,2021-11-02,2021-08-06,2,2021,2.968992714628645,0.4424638919428651,2.260144925157959,2.6720173376857703,2.9491530760873474,3.256102790557668,3.7297479400044886
Lower Bar BC,2021-11-02,2021-08-06,3,2021,3.168358067783303,0.459462329377956,2.3146385537057275,2.8701461867139266,3.194989636412557,3.4951988423040086,3.8439193586115783
Lower Bar BC,2021-11-02,2021-08-06,4,2021,3.0471565575326207,0.39765656484070566,2.409390382045558,2.8025164963361915,3.058230775892987,3.3053646551867737,3.6778379843386597
3 Channel,2021-11-02,2021-08-06,1,2021,3.512209533765579,0.6688216868010907,2.3326969256791754,3.1019805714397757,3.5814398581531264,3.9501121475400836,4.533720128035102
3 Channel,2021-11-02,2021-08-06,2,2021,3.2209839681289667,0.7656030639126488,1.7919812758780103,2.7808708202331287,3.3641995968469294,3.7865960342900045,4.24132337051554
3 Channel,2021-11-02,2021-08-06,3,2021,3.4623563931766186,0.7226887887113538,2.310099788849268,3.022747667746663,3.487977260619489,3.9064152179432594,4.591334010427145
