stream,section,elev,lat,lon,utm_n,utm_e
Blackrock,1,2101.21,43.8236177465,-110.3481206715,4852489.242224999,552418.4757885967
Blackrock,2,2104.42,43.8235775705,-110.3445784675,4852487.0302642565,552703.3449567689
Blackrock,3,2109.48,43.822787115,-110.3413448615,4852401.303376916,552964.0629977171
Blackrock,4,2112.95,43.8226856285,-110.3384875995,4852391.8647435345,553193.9129414943
Spread,1,2318,43.779467695,-110.36503657450001,4847575.1735088695,551095.8580095271
Spread,2,2319.73,43.778578813,-110.36253992900001,4847477.994470879,551297.524788437
Spread,3,2323.67,43.7763801345,-110.36031036,4847235.184526519,551478.8287550255
Spread,4,2325.02,43.774460606000005,-110.35969501100001,4847022.377248806,551529.9972250764
Willow,1,1847.1,43.2905304185,-110.6743772725,4793129.99747014,526415.5891601259
Willow,2,1853.98,43.289572794,-110.677164472,4793022.772016585,526189.893086754
Willow,3,1864.79,43.288107853,-110.6793683655,4792859.3960000705,526011.7273161226
Willow,4,1866.39,43.286067498,-110.68112340900001,4792632.261587432,525870.2113298967
Cliff,1,1952.56,43.246764329499996,-110.4993820265,4788339.795810947,540640.9074757213
Cliff,2,1955.53,43.245385496,-110.50126483899999,4788185.758400789,540488.9709516136
Cliff,3,1960.21,43.243699463,-110.5026467895,4787997.850658414,540377.8930180913
Cliff,4,1964.17,43.2416262015,-110.5037597255,4787767.071397843,540288.904752827
Crystal,1,2138.09,43.611685907,-110.428974253,4828903.506899342,546079.049831779
Crystal,2,2140.13,43.610495073,-110.4261228265,4828772.838075726,546310.0604475742
Crystal,3,2141.71,43.6083621575,-110.42417579549999,4828537.042852559,546468.8220151896
Crystal,4,2143.7,43.606291785500005,-110.42281531750001,4828307.868433229,546580.2099779086
Upper Bar BC,1,1978.66,43.6787324915,-110.705785771,4836233.424344001,523715.2774547262
Upper Bar BC,2,1980,43.6797034185,-110.70765133750001,4836340.725467591,523564.52252963017
Upper Bar BC,3,1979.86,43.682222417999995,-110.7046437665,4836621.348362187,523805.9493783877
Upper Bar BC,4,1981.39,43.683732948,-110.7045737565,4836789.130457658,523810.99480474525
Blacktail,1,1971.41,43.667267468,-110.70185975000001,4834961.231518147,524036.3117876148
Blacktail,2,1970.79,43.6677486245,-110.70061430300001,4835015.030938494,524136.5279911278
Blacktail,3,1972.17,43.667922362,-110.6979045535,4835035.118228889,524354.9183262661
Blacktail,4,1972.37,43.6699090795,-110.6976540415,4835255.839436864,524374.3106243941
Lower Bar BC,1,1906.39,43.5464507865,-110.78752953200001,4821522.060854617,517163.86018768785
Lower Bar BC,2,1909.37,43.5465881305,-110.7846965355,4821537.9027257115,517392.67682267673
Lower Bar BC,3,1909.19,43.5464725995,-110.7814975765,4821525.745958699,517651.12938568555
Lower Bar BC,4,1909.43,43.5474777295,-110.7797486715,4821637.747373423,517792.11436036974
3 Channel,1,1907.66,43.553499084500004,-110.790433762,4822304.242888026,516927.2770067402
3 Channel,2,1907.99,43.555560008499995,-110.78912925099999,4822533.393727508,517032.0657517207
3 Channel,3,1908.28,43.5532280005,-110.7887130115,4822274.488261447,517066.34357997926
3 Channel,4,1909.29,43.555356200999995,-110.787310986,4822511.133085334,517178.985252414
Fall,4,1913.58,43.3379769595,-110.814501369,4798364.380422427,515036.5544873663
Fall,1,1911.12,43.3353824155,-110.81149358100001,4798076.789740654,515281.0170004329
Fall,2,1911.35,43.3361582105,-110.8129565535,4798162.678828354,515162.2300748658
Fall,3,1911.01,43.337036213999994,-110.813649967,4798260.059714675,515105.8025109522
Fish,1,1891.84,43.540997296,-110.84738573999999,4820905.788792294,512329.64669702656
Fish,2,1897.45,43.543686059500004,-110.84649327849999,4821204.532567354,512401.19718355505
Fish,3,1897.08,43.5459865115,-110.8465476335,4821460.010220543,512396.334659746
Fish,4,1896.79,43.548503103499996,-110.8464897425,4821739.509004824,512400.4953588224
Flat,1,1908.02,43.5470375085,-110.72398173100001,4821602.298268328,522297.1854166229
Flat,2,1908.92,43.547633845,-110.722171624,4821669.013729675,522443.18748292304
Flat,3,1910.25,43.548110434,-110.720228855,4821722.469381518,522599.9478414396
Flat,4,1911.51,43.5492329805,-110.718312287,4821847.660972912,522754.3462207409
Mosquito,1,1890.22,43.4419527165,-110.8834933805,4809901.387419113,509427.91826698906
Mosquito,2,1890.44,43.441371055000005,-110.88691014899999,4809836.408958558,509151.51506983413
Mosquito,3,1896.33,43.441111086,-110.890403378,4809807.159874917,508868.87215073133
Mosquito,4,1905.53,43.440720305,-110.89381863950001,4809763.403105608,508592.5547053115
