site,basin_areasqkm,springprev_point,springprev_basinmean,springprev_iew01km,springprev_iew05km,springprev_basinmean_log,springprev_iew01km_log,springprev_iew05km_log,springprev_point_norm,springprev_basinmean_norm,springprev_iew01km_norm,springprev_iew05km_norm,springprev_basinmean_log_norm,springprev_iew01km_log_norm,springprev_iew05km_log_norm
Blackrock_1A,124.82098312195512,0.01242579985409975,0.06157178017541757,0.02050171438652351,0.03344574027824146,-2.7875516274443854,-3.887246767723549,-3.397830846459042,0.011491042680046155,0.1520450762502093,0.04123917928435412,0.07930238215510686,0.62751217423002,0.39627254326240663,0.504052666727454
Blackrock_2A,124.48098339859408,0.0228981003165245,0.06178738364743846,0.02183151658121352,0.03407425465102848,-2.784056083459253,-3.824400638491941,-3.3792131754163695,0.022998667958412888,0.15260239056655434,0.044331914742938947,0.08092653280869279,0.628217910165558,0.4087139809345311,0.5078128780516608
Blackrock_3A,124.19306736263484,0.05144210159778595,0.06205058905276306,0.02349800723789714,0.03483419145062366,-2.7798052741813666,-3.750839659814966,-3.357155861602682,0.05436461967728881,0.15328275131933752,0.048207690227372695,0.08289029354859992,0.6290761310534317,0.4232766014570654,0.5122677940824418
Blackrock_4A,123.3126589448118,0.02469239942729473,0.06226365650393579,0.02511033816511534,0.03546339431424678,-2.776377386108612,-3.6844756385550457,-3.339254260575182,0.024970357166351216,0.15383351026478811,0.051957505838665985,0.08451622333865409,0.6297682075388755,0.4364144644292463,0.5158833807340029
Spread_1A,196.85150967199257,0.06949269771575928,0.02870402626080467,0.02954231799296711,0.02663001065453215,-3.550717878223064,-3.521931535324203,-3.6257164790612895,0.07419975493931538,0.06708508172403091,0.06226500963138235,0.06168978298108035,0.47343205100599006,0.46859277603003135,0.45802660179317906
Spread_2A,196.3875281275301,0.07189849764108658,0.0286774772383514,0.02830087936822695,0.02647970563544682,-3.5516432295202147,-3.5648624017334787,-3.6313766644612655,0.07684339987050551,0.06701645504488013,0.059377782290562925,0.061301378187881755,0.4732452263898006,0.46009389622356156,0.4568834140556088
Spread_3A,196.0516530440073,0.08882279694080353,0.02863407600146543,0.02527169055061132,0.02615206726481773,-3.553157801809016,-3.678070460309959,-3.6438270374918873,0.09544088904099604,0.06690426700617687,0.05233276484030042,0.06045472440105199,0.472939440481878,0.43768247610935174,0.4543688120115057
Spread_4A,192.16591881262588,0.01819939911365509,0.02853337894480599,0.02053517548446863,0.02555127019704893,-3.5566806859709077,-3.885615985982243,-3.66706824939792,0.017835438261973043,0.06664397476336606,0.04131700012455974,0.05890219832919418,0.47222818467724254,0.3965953836606836,0.4496747840637001
Willow_1A,185.56026766978263,0.15665599703788757,0.04714318473301508,0.14390127571777758,0.07487230498708546,-3.05456582471893,-1.9386277998204149,-2.59197121668899,0.16998029429875672,0.11474853955982268,0.3282308840859443,0.18635320718132864,0.5736031073960904,0.7820341125476179,0.6668121492984552
Willow_2A,185.3546018047723,0.5624639987945557,0.04652220284670228,0.1360213913815547,0.07293640261204253,-3.0678255997721595,-1.9949431160445377,-2.6181674146417957,0.615907761328027,0.11314336088533666,0.30990455119711596,0.18135062133152186,0.5709260134181532,0.7708855580486398,0.6615213027705769
Willow_3A,185.0377324146354,0.5144699811935425,0.04592560356042175,0.12644345917406616,0.07083341695375217,-3.0807325056608996,-2.067960033783181,-2.647424398762912,0.5631689030286999,0.11160120889562676,0.28762904986593746,0.1759162737982292,0.5683201622713698,0.756430643447486,0.6556122692103529
Willow_4A,184.83093429554955,0.3007870018482208,0.04541668013107662,0.11760786148742276,0.06900044094195104,-3.0918758376428648,-2.140399396369084,-2.673642383942238,0.3283605470715802,0.11028569059511452,0.2670800040210838,0.17117966105479565,0.5660703694337599,0.742090065505135,0.6503170223159789
Cliff_1A,158.40185970024615,0.2260729968547821,0.03157265197024902,0.10068431767014524,0.052092206613568,-3.4554639770815836,-2.295765224551672,-2.954739926564036,0.24626007873652245,0.07450020431516392,0.2277207337043363,0.12748691348300217,0.49266342137971114,0.7113328129687372,0.593543747046986
Cliff_2A,157.94531868255277,0.28171899914741516,0.03100391773472752,0.09385496109594176,0.05039150080166615,-3.473641703942488,-2.3660046553761536,-2.987932753012852,0.30740742118724607,0.07303008081167517,0.21183762468203385,0.12309210156532183,0.48899341318450706,0.6974277481475171,0.5868397913476294
Cliff_3A,157.78801624155707,0.23134900629520416,0.03050481287717579,0.08861296784849211,0.04893143104496704,-3.4898708085660983,-2.4234770681027977,-3.0173353273283414,0.25205769119267274,0.07173994257844678,0.1996462638504863,0.1193191198288684,0.48571682379435765,0.6860501271301589,0.5809013529334729
