site,basin_areasqkm,springprev_point,springprev_basinmean,springprev_iew01km,springprev_iew05km,springprev_basinmean_log,springprev_iew01km_log,springprev_iew05km_log
1,2.444940922211996,0.3446210026741028,0.13675252755932737,0.1416117695469125,0.1377244624678299,-1.9895823547844769,-1.9546659829074935,-1.9825002385692205
2,3.058299129153476,0.22226600348949432,0.13360514557486913,0.13758101400874495,0.13442324936593808,-2.0128665038393123,-1.983542342590562,-2.006761879499796
3,3.55236628186959,0.5620329976081848,0.12763264607028665,0.1298863460296749,0.12810883285200106,-2.058599093848876,-2.0410954722260555,-2.0548751196696893
4,3.768222433547586,0.0664047971367836,0.11723470840534633,0.11435351195765207,0.11675439161505548,-2.1435772988787374,-2.168460646631205,-2.1476827675940635
5,6.79457582275622,0.05851919949054718,0.10195000042738515,0.08872700979326219,0.09948429672255334,-2.2832727777695676,-2.4221909287674164,-2.30775546915666
6,7.631473334022395,0.1019740030169487,0.09480153978560141,0.07781378860289534,0.09154167990274414,-2.3559696273889186,-2.553436632101737,-2.3909608923547414
7,7.905074443475313,0.004882260225713253,0.09040807204211572,0.06918336496421923,0.08634796574862365,-2.4034217230690644,-2.67099483594746,-2.4493700328762866
8,11.45638934656287,0.006834370084106922,0.07114290178820468,0.04084079256987733,0.06469068265087177,-2.6430647234679485,-3.198073879167875,-2.738138096332799
9,11.628653716392055,0.05911890044808388,0.06704727254575096,0.035084451669384,0.059985923326456414,-2.7023573479975385,-3.3499972190337886,-2.813645355511282
10,11.998415546842587,0.13110199570655823,0.06509872904801088,0.035543961995275736,0.05801538190846695,-2.7318502530302204,-3.3369849825794713,-2.8470470982780363
11,13.154932208138817,0.08859749883413315,0.06326827166596512,0.03684187696813831,0.05626648019457548,-2.7603713129980174,-3.3011201197034747,-2.8776562995713317
12,13.771363676139172,0.18394599854946136,0.061705063976699046,0.03781873830177714,0.054755614764446146,-2.78538927726205,-3.2749505769170515,-2.904875362768431
