site,basin_areasqkm,springprev_point,springprev_basinmean,springprev_iew01km,springprev_iew05km,springprev_basinmean_log,springprev_iew01km_log,springprev_iew05km_log
Blackrock_1A,124.82098312195511,0.01242579985409975,0.061571780175417576,0.02050171438652351,0.033445740278241466,-2.7875516274443854,-3.887246767723549,-3.397830846459042
Blackrock_2A,124.48098339859409,0.022898100316524506,0.06178738364743846,0.021831516581213524,0.03407425465102848,-2.784056083459253,-3.824400638491941,-3.3792131754163695
Blackrock_3A,124.19306736263485,0.05144210159778595,0.06205058905276306,0.023498007237897148,0.034834191450623664,-2.7798052741813666,-3.750839659814966,-3.3571558616026826
Blackrock_4A,123.31265894481179,0.02469239942729473,0.06226365650393579,0.025110338165115348,0.03546339431424678,-2.776377386108612,-3.6844756385550457,-3.3392542605751814
Spread_1A,196.85150967199255,0.06949269771575928,0.028704026260804674,0.029542317992967117,0.026630010654532157,-3.550717878223064,-3.521931535324203,-3.6257164790612895
Spread_2A,196.3875281275301,0.07189849764108658,0.028677477238351404,0.028300879368226953,0.026479705635446823,-3.5516432295202147,-3.5648624017334787,-3.6313766644612655
Spread_3A,196.0516530440073,0.08882279694080353,0.02863407600146543,0.025271690550611327,0.026152067264817735,-3.553157801809016,-3.678070460309959,-3.6438270374918873
Spread_4A,192.16591881262588,0.01819939911365509,0.02853337894480599,0.02053517548446863,0.02555127019704893,-3.5566806859709077,-3.885615985982243,-3.6670682493979196
Willow_1A,185.56026766978263,0.15665599703788757,0.047143184733015084,0.14390127571777758,0.07487230498708546,-3.05456582471893,-1.9386277998204147,-2.59197121668899
Willow_2A,185.3546018047723,0.5624639987945557,0.04652220284670228,0.1360213913815547,0.07293640261204253,-3.0678255997721595,-1.9949431160445374,-2.6181674146417957
Willow_3A,185.0377324146354,0.5144699811935425,0.04592560356042175,0.12644345917406616,0.07083341695375217,-3.0807325056608996,-2.067960033783181,-2.647424398762912
Willow_4A,184.83093429554955,0.3007870018482208,0.04541668013107662,0.11760786148742276,0.06900044094195104,-3.0918758376428648,-2.140399396369084,-2.673642383942238
Cliff_1A,158.40185970024615,0.2260729968547821,0.03157265197024902,0.10068431767014524,0.052092206613568,-3.4554639770815836,-2.295765224551672,-2.954739926564036
Cliff_2A,157.94531868255277,0.28171899914741516,0.031003917734727528,0.09385496109594177,0.05039150080166615,-3.473641703942488,-2.3660046553761536,-2.987932753012852
Cliff_3A,157.78801624155707,0.23134900629520416,0.03050481287717579,0.08861296784849211,0.04893143104496704,-3.4898708085660983,-2.4234770681027977,-3.0173353273283414
Cliff_4A,157.40005747063222,0.2693670094013214,0.03000073533715625,0.0830803051155535,0.04746729907132024,-3.5065333863818355,-2.4879476074297715,-3.047714245629377
Crystal_1A,185.11699019977476,0.050676800310611725,0.02377298909404706,0.035291387685504445,0.025865368065161817,-3.739205254819858,-3.3441163197244954,-3.6548503453877443
Crystal_2A,184.9984270231693,0.062375400215387344,0.02372512538821687,0.03438463610500317,0.025562623221338267,-3.7412206494330147,-3.3701454392239305,-3.6666240247960835
Crystal_3A,184.67330835335304,0.03744589909911156,0.023652938685604204,0.03270867412729825,0.025080849570517545,-3.74426791444408,-3.4201149724234083,-3.6856506893685927
Crystal_4A,183.08766739800328,0.04112840071320534,0.023652039510245693,0.034281454990889,0.025096137132093334,-3.7443059305427195,-3.373150741844978,-3.685041343807871
Upper Bar BC_1A,5.737212268229257,0.4819509983062744,0.32530100889580116,0.3237059617650871,0.3249055195893172,-1.1230043440757282,-1.1279197006567125,-1.1242208478723865
Upper Bar BC_2A,1.0721637327812,0.4668940007686615,0.30783014244536233,0.31148854373582746,0.3085697090585643,-1.1782071336996653,-1.1663927191650478,-1.1758074998701595
Upper Bar BC_3A,4.588540510159026,0.5208029747009277,0.3378923598037874,0.3366592391236573,0.3376665491828409,-1.0850278963379196,-1.08868402006725,-1.0856964113300318
Upper Bar BC_4A,4.529905924183394,0.5091239809989929,0.340306154524787,0.3395427328181742,0.3401929978708009,-1.0779096120531977,-1.0801554700422584,-1.078242181622552
Blacktail_1A,61.15053540247885,0.16818499565124512,0.24362152863984507,0.2386187107570355,0.24338925876749293,-1.412139370040555,-1.4328883534615104,-1.4130932293634644
Blacktail_2A,61.060521203593886,0.20781899988651276,0.26245342368497193,0.2693519996845,0.2645893638418181,-1.337681646274718,-1.3117362057714024,-1.3295762252300767
Blacktail_3A,59.937486912793794,0.5690780282020569,0.32715536958797586,0.3418073558308745,0.33513444592166497,-1.1173200845717532,-1.0735079876695064,-1.093223496559412
Blacktail_4A,0.981259905698498,0.5155730247497559,0.26544966076811155,0.2771155461270657,0.26717825343526685,-1.3263300579035027,-1.2833207257382848,-1.3198392274757964
Lower Bar BC_1A,6.402573287281949,0.3721500039100647,0.2282453473287797,0.23484127608219682,0.23060691014412332,-1.4773341438165497,-1.448845413964274,-1.4670407056632628
Lower Bar BC_2A,6.396507640456636,0.3289029896259308,0.22715877473528728,0.23388734533400224,0.2295623127807688,-1.4821060578275327,-1.4529157097457324,-1.471580770950555
Lower Bar BC_3A,0.524071885677815,0.3871139883995056,0.2467083771654479,0.2468749111876819,0.2467762861266304,-1.3995482991305719,-1.398873503072914,-1.3992730769538253
Lower Bar BC_4A,0.451122373196237,0.46533799171447754,0.250460090445961,0.25261358906553705,0.25088806408981235,-1.3844556907269314,-1.3758942737370599,-1.382748399121544
3 Channel_1A,31.613827750607495,0.2628760039806366,0.12744537642850398,0.13346293246612168,0.128620225699393,-2.0600674263503924,-2.013931499126149,-2.050891203500152
3 Channel_2A,31.435174232792857,0.30969199538230896,0.12764427592845312,0.13344458087226055,0.12880407085568849,-2.058507978223668,-2.0140690118822384,-2.0494628597889175
3 Channel_3A,0.709114551485152,0.2431199997663498,0.13628864428522874,0.13767320984683465,0.13657628292348062,-1.9929802578720437,-1.982872446664926,-1.9908719711989458
