Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
3.605E-7,0.00003605,0.000071712,1,0,0
4.12421E-7,0.000077292,0.00008204,0.999901274,0,0
5.24222E-7,0.000129714,0.000104277,0.999802547,0,0
6.58984E-7,0.00025861,0.00013108,0.999605094,0,0
6.85885E-7,0.000527776,0.00013643,0.999210189,0,0
7.96349E-7,0.001048579,0.000158399,0.998519104,0,0
1.01249E-6,0.002527329,0.000201382,0.996939481,0,0
1.22854E-6,0.005085641,0.000244344,0.994668773,0,0
1.41945E-6,0.010025549,0.000282302,0.991015895,0,0
1.90832E-6,0.025178467,0.000379495,0.982130516,0,0
2.31274E-6,0.050048251,0.00045988,0.970678251,0,0
2.87134E-6,0.100086184,0.000570893,0.951722776,0,0
3.59736E-6,0.200009975,0.000715141,0.92121631,0,0
4.14032E-6,0.300024472,0.000822991,0.895744891,0,0
4.60251E-6,0.40034218,0.000914779,0.873136539,0,0
5.07233E-6,0.500125857,0.001008064,0.852798894,0,0
5.45639E-6,0.600141705,0.001084309,0.834040873,0,0
5.86619E-6,0.700351723,0.001165649,0.816566295,0,0
6.08202E-6,0.750569529,0.001208485,0.808273275,0,0
6.28024E-6,0.800103601,0.001247822,0.80037516,0,0
6.67759E-6,0.900362236,0.001326666,0.785072564,0,0
7.02706E-6,1.000430398,0.001395999,0.770658505,0,0
7.42472E-6,1.100206171,0.001474884,0.757034258,0,0
7.82638E-6,1.200769516,0.001554547,0.744002369,0,0
8.21899E-6,1.300522349,0.001632404,0.731760292,0,0
8.54903E-6,1.400296699,0.001697843,0.720011847,0,0
8.88302E-6,1.500644032,0.001764057,0.708658308,0,0
9.68788E-6,1.750149311,0.001923583,0.682100898,0,0
1.04784E-5,2.000497703,0.002080226,0.657616744,0,0
1.14175E-5,2.250896432,0.002266232,0.635008392,0,0
1.22673E-5,2.500563504,0.002434495,0.614177115,0.007751938,0
1.3217E-5,2.751306237,0.002622465,0.594728009,0.007751938,0
1.41153E-5,3.000098059,0.002800207,0.576759799,0.007751938,0
1.51153E-5,3.251459417,0.002997995,0.559778853,0.007751938,0
1.61691E-5,3.501609774,0.003206348,0.543982624,0.023255814,0.018518519
1.70959E-5,3.751574302,0.003389509,0.52917366,0.023255814,0.018518519
1.79768E-5,4.000898104,0.003563529,0.515154507,0.031007752,0.018518519
1.8999E-5,4.250583524,0.003765407,0.501826439,0.031007752,0.018518519
1.99003E-5,4.501232398,0.003943325,0.48909073,0.031007752,0.018518519
2.08614E-5,4.750098932,0.004132989,0.477046105,0.031007752,0.018518519
2.18126E-5,5.001628086,0.004320621,0.465396387,0.031007752,0.018518519
2.28232E-5,5.25106383,0.004519882,0.454339027,0.031007752,0.018518519
2.39844E-5,5.501602048,0.004748755,0.443775299,0.031007752,0.018518519
2.48345E-5,5.750391388,0.004916243,0.433705203,0.031007752,0.018518519
2.58933E-5,6.001509231,0.005124768,0.423931286,0.031007752,0.037037037
2.70036E-5,6.252646657,0.00534334,0.414552276,0.031007752,0.037037037
2.80508E-5,6.500242816,0.005549418,0.405666897,0.031007752,0.037037037
2.89794E-5,6.751062029,0.005732063,0.396978971,0.031007752,0.055555556
3.00426E-5,7.001852395,0.005941125,0.388587225,0.031007752,0.074074074
3.10263E-5,7.252537265,0.00613446,0.380491658,0.031007752,0.074074074
3.21637E-5,7.502028536,0.00635792,0.37269227,0.031007752,0.074074074
3.33796E-5,7.751423547,0.006596674,0.365189061,0.031007752,0.074074074
3.45662E-5,8.00330605,0.006829569,0.357883305,0.031007752,0.074074074
3.54833E-5,8.251785557,0.007009505,0.350873729,0.031007752,0.074074074
3.6707E-5,8.500783603,0.007249485,0.344061605,0.031007752,0.074074074
3.76596E-5,8.753673541,0.00743623,0.337348208,0.031007752,0.074074074
3.88356E-5,9.002028399,0.007666652,0.33093099,0.031007752,0.074074074
4.00182E-5,9.253802048,0.007898276,0.324612499,0.031007752,0.074074074
4.0965E-5,9.501035279,0.008083627,0.318590187,0.031007752,0.074074074
4.20325E-5,9.750287767,0.008292537,0.312666601,0.031007752,0.074074074
4.30886E-5,10.001416829,0.008499113,0.306841742,0.031007752,0.074074074
4.42917E-5,10.250372402,0.008734348,0.301214335,0.031007752,0.074074074
4.52807E-5,10.500923822,0.008927644,0.295685655,0.046511628,0.074074074
4.63552E-5,10.752932189,0.009137559,0.290255701,0.062015504,0.074074074
4.71442E-5,11.000627528,0.00929164,0.285023201,0.062015504,0.074074074
4.8716E-5,11.250028278,0.009598451,0.279889426,0.062015504,0.092592593
4.98942E-5,11.501466689,0.009828324,0.274854379,0.062015504,0.092592593
5.09967E-5,11.753496497,0.010043312,0.269918057,0.062015504,0.092592593
5.19418E-5,12.000618332,0.010227533,0.265179188,0.062015504,0.092592593
5.2924E-5,12.252272603,0.010418914,0.26044032,0.069767442,0.092592593
5.40093E-5,12.503442845,0.010630295,0.255800178,0.069767442,0.092592593
5.50825E-5,12.754118222,0.010839241,0.251258762,0.069767442,0.092592593
5.65188E-5,13.000115397,0.011118733,0.246914799,0.069767442,0.092592593
5.7628E-5,13.251433422,0.011334469,0.242570836,0.069767442,0.092592593
5.90176E-5,13.502364494,0.011604612,0.2383256,0.07751938,0.092592593
6.04415E-5,13.753660837,0.01188127,0.23417909,0.07751938,0.092592593
6.15013E-5,14.002998168,0.012087076,0.230131306,0.07751938,0.092592593
