type,X,Y
spring,497660.4034,4813873.68
spring,508294.0758,4833820.794
spring,508575.2854,4834458.805
spring,508604.4944,4834533.334
spring,508696.8542,4834691.751
spring,508747.4343,4834760.58
spring,514115.7336,4914013.477
spring,515074.8015,4866997.377
spring,518900.5056,4868544.255
spring,520691.297,4897473.96
spring,521054.6734,4816076.906
spring,520826.7306,4897535.342
spring,521413.1456,4816027.669
spring,521958.5721,4821150.763
spring,522499.3976,4822503.737
spring,522518.7771,4822512.601
spring,522568.1601,4822521.266
spring,522637.4911,4822157.882
spring,522449.1057,4881746.762
spring,522466.4932,4886612.036
spring,522728.0058,4822651.641
spring,522763.4742,4822678.009
spring,522568.3149,4886766.46
spring,522794.2082,4822677.841
spring,522682.9452,4886946.446
spring,524952.105,4891107.206
spring,525001.5983,4892754.071
spring,525103.9231,4892760.142
spring,525477.0195,4892549.446
spring,525587.6815,4891960.09
spring,525643.7251,4891728.245
spring,525730.4287,4890656.518
spring,525927.4539,4891288.967
spring,529561.756,4792949.993
spring,529465.5779,4822078.807
spring,529760.3661,4792964.026
spring,531384.8003,4883054.331
spring,532170.1381,4838925.4
spring,532111.5471,4883067.785
spring,532279.9122,4881591.348
spring,534205.1926,4879285.55
spring,537662.3918,4832821.605
spring,541465.9554,4879928.031
spring,545762.2234,4852408.612
spring,547085.7178,4849298.402
spring,551498.4197,4830920.631
spring,557052.5574,4824468.331
spring,559410.493,4826882.602
spring,566317.2779,4788198.469
spring,566805.0656,4787425.749
spring,566621.0211,4806773.882
spring,567359.3476,4806699.611
spring,568163.8632,4870146.469
spring,570516.7515,4870202.927
spring,571348.6272,4813022.753
spring,571442.9518,4812415.211
spring,571771.5982,4811948.32
spring,571822.7124,4848466.838
spring,571980.3908,4849049.55
spring,573127.0277,4813726.579
spring,573233.2153,4813734.519
spring,573337.8404,4818738.55
spring,576377.8609,4828859.061
spring,576109.0513,4863844.173
spring,576141.4464,4863861.32
spring,576569.9215,4828818.318
spring,578840.1432,4814446.477
spring,579505.1844,4815331.641
spring,580928.8421,4821096.357
spring,581385.4014,4820929.234
spring,583635.4629,4816033.799
spring,584225.4868,4820578.98
spring,584298.6316,4820247.218
spring,584735.4597,4820704.372
spring,584749.2014,4820309.489
spring,588021.1375,4813674.263
spring,589712.4186,4809486.834
spring,512287.2589,4820614.481
spring,522733.9205,4821731.758
spring,514296.3992,4808167.525
spring,514455.8727,4808627.115
spring,517720.0116,4821457.157
spring,517663.3028,4821429.978
spring,514607.5193,4807758.673
spring,514197.6304,4808286.411
spring,524170.5312,4835019.597
spring,517807.5921,4821476.707
spring,524452.1156,4835011.887
spring,514555.2538,4807800.247
spring,517210.459,4822552.728
spring,514250.7534,4808154.665
spring,550606.2105,4847903.793
spring,524475.3898,4835040.849
spring,513812.9964,4811598.447
spring,513481.4713,4811478.913
spring,517811.7655,4821697.333
spring,513634.4282,4811663.559
spring,523821.2054,4837175.339
spring,517534.689,4821494.056
spring,524187.286,4837348.802
spring,523458.2478,4836420.052
spring,523780.1972,4837148.538
spring,522173.4879,4821919.798
spring,523731.8546,4836917.355
spring,533028.4116,4845483.764
spring,517104.4564,4822311.457
spring,524525.8205,4835064.068
spring,517656.0265,4821432.18
spring,512396.5779,4822100.1
spring,524088.7721,4835010.466
spring,517407.6673,4821568.135
spring,551092.997,4847709.507
spring,517626.8279,4821476.527
spring,524305.7058,4835047.043
spring,522812.6489,4821747.289
spring,524262.1272,4835012.46
spring,524510.5394,4884110.991
spring,524427.6636,4835030.164
spring,514437.8967,4808010.755
spring,522209.7167,4821956.568
spring,513868.5888,4808842.537
spring,523492.9196,4836562.22
spring,524463.7834,4835040.029
spring,522748.1602,4821732.86
spring,523502.5488,4836574.471
spring,540557.2123,4788379.906
spring,517718.4875,4821543.878
spring,524260.6549,4835118.921
spring,523508.9305,4836593.374
spring,524281.4975,4835035.98
spring,517803.3508,4821708.508
spring,513662.9332,4811807.416
spring,523766.5554,4837131.83
spring,540533.1298,4788334.228
spring,523455.3248,4836447.948
spring,515284.9602,4797941.522
spring,513875.0784,4808685.855
spring,522848.428,4821791.009
spring,513518.0262,4811489.742
spring,517751.6394,4821629.008
spring,517644.708,4821435.482
spring,523470.4954,4836521.048
spring,512458.0337,4821023.618
spring,512416.89,4821210.956
spring,524284.7358,4835147.885
spring,522300.6079,4822073.482
spring,540580.6619,4788395.594
spring,522859.7126,4821784.257
spring,515300.8356,4797936.97
spring,550566.8917,4847886.795
spring,524539.019,4835089.742
spring,513628.0898,4811788.276
spring,512268.2831,4820785.116
spring,524398.7746,4835036.864
spring,540584.7665,4788015.997
spring,514192.8853,4808399.481
spring,512291.9709,4820848.844
spring,514485.9867,4808717.244
spring,532626.775,4845144.496
spring,532705.6133,4845167.139
spring,512308.5875,4820929.385
spring,512337.1994,4820972.941
spring,512327.5494,4821079.547
spring,512399.1381,4821150.547
spring,533069.9051,4845497.33
spring,533291.1072,4845648.796
spring,521833.311,4838353.803
spring,523806.0626,4837127.528
spring,532522.8433,4845140.858
spring,571876.5149,4848461.412
spring,512315.9643,4820953.932
spring,512302.6407,4820826.736
spring,512434.4483,4820700.65
spring,537873.6565,4851508.61
spring,523811.3361,4837138.441
spring,548262.4908,4822024.409
spring,514549.7328,4807809.019
spring,514416.6004,4808535.595
spring,532980.9683,4845416.152
spring,532372.6782,4845105.296
spring,533141.8125,4845522.373
spring,532984.5458,4845481.813
spring,512421.4797,4821044.257
