"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"L[1]",29.921568627451,0,29.921568627451,29.921568627451,29.921568627451,29.921568627451,29.921568627451,1,1
"L[2]",45.1914893617021,0,45.1914893617021,45.1914893617021,45.1914893617021,45.1914893617021,45.1914893617021,1,1
"L[3]",58.58,0,58.58,58.58,58.58,58.58,58.58,1,1
"L[4]",63.2857142857143,0,63.2857142857143,63.2857142857143,63.2857142857143,63.2857142857143,63.2857142857143,1,1
"L[5]",31.85,0,31.85,31.85,31.85,31.85,31.85,1,1
"L[6]",40.2954545454545,0,40.2954545454545,40.2954545454545,40.2954545454545,40.2954545454545,40.2954545454545,1,1
"L[7]",61.6326530612245,0,61.6326530612245,61.6326530612245,61.6326530612245,61.6326530612245,61.6326530612245,1,1
"L[8]",63.88,0,63.88,63.88,63.88,63.88,63.88,1,1
"L[9]",32.4411764705882,0,32.4411764705882,32.4411764705882,32.4411764705882,32.4411764705882,32.4411764705882,1,1
"L[10]",52.8695652173913,0,52.8695652173913,52.8695652173913,52.8695652173913,52.8695652173913,52.8695652173913,1,1
"L[11]",66.8367346938775,0,66.8367346938775,66.8367346938775,66.8367346938775,66.8367346938775,66.8367346938775,1,1
"L[12]",67.14,0,67.14,67.14,67.14,67.14,67.14,1,1
"L[13]",27.76,0,27.76,27.76,27.76,27.76,27.76,1,1
"L[14]",46,0,46,46,46,46,46,1,1
"L[15]",62,0,62,62,62,62,62,1,1
"L[16]",62.9,0,62.9,62.9,62.9,62.9,62.9,1,1
"L[17]",25.82,0,25.82,25.82,25.82,25.82,25.82,1,1
"L[18]",35.74,0,35.74,35.74,35.74,35.74,35.74,1,1
"L[19]",48.86,0,48.86,48.86,48.86,48.86,48.86,1,1
"L[20]",57.96,0,57.96,57.96,57.96,57.96,57.96,1,1
"L[21]",26.02,0,26.02,26.02,26.02,26.02,26.02,1,1
"L[22]",33.46,0,33.46,33.46,33.46,33.46,33.46,1,1
"L[23]",56.88,0,56.88,56.88,56.88,56.88,56.88,1,1
"L[24]",61.56,0,61.56,61.56,61.56,61.56,61.56,1,1
"L[25]",25.906976744186,0,25.906976744186,25.906976744186,25.906976744186,25.906976744186,25.906976744186,1,1
"L[26]",32.1,0,32.1,32.1,32.1,32.1,32.1,1,1
"L[27]",46.66,0,46.66,46.66,46.66,46.66,46.66,1,1
"L[28]",51.66,0,51.66,51.66,51.66,51.66,51.66,1,1
"L[29]",26.62,0,26.62,26.62,26.62,26.62,26.62,1,1
"L[30]",39.3611111111111,0,39.3611111111111,39.3611111111111,39.3611111111111,39.3611111111111,39.3611111111111,1,1
"L[31]",55.8,0,55.8,55.8,55.8,55.8,55.8,1,1
