date,time,stream,section,elap,elap.min,elap.sec,method,netter1,netter2,bucket,species,lengthmm,weightg,comments,surveynotes,dum,streamnum,year,id,age
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,23,0.08,NA,0 mort,0,12,2021,1,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,24,0.12,NA,0 mort,0,12,2021,2,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,25,0.14,NA,0 mort,0,12,2021,3,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,22,0.07,NA,0 mort,0,12,2021,4,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,25,0.09,NA,0 mort,0,12,2021,5,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,23,0.09,NA,0 mort,0,12,2021,6,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,22,0.13,NA,0 mort,0,12,2021,7,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,24,0.11,NA,0 mort,0,12,2021,8,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,23,0.07,NA,0 mort,0,12,2021,9,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,23,0.08,NA,0 mort,0,12,2021,10,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,23,0.07,NA,0 mort,0,12,2021,11,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,22,0.08,NA,0 mort,0,12,2021,12,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,28,0.18,NA,0 mort,0,12,2021,13,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,23,0.11,NA,0 mort,0,12,2021,14,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,24,0.13,NA,0 mort,0,12,2021,15,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,24,NA,NA,0 mort,0,12,2021,16,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,26,0.14,NA,0 mort,0,12,2021,17,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,24,0.08,NA,0 mort,0,12,2021,18,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,25,0.11,NA,0 mort,0,12,2021,19,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,24,0.09,NA,0 mort,0,12,2021,20,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,23,0.13,NA,0 mort,0,12,2021,21,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,23,0.09,NA,0 mort,0,12,2021,22,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,23,0.09,NA,0 mort,0,12,2021,23,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,24,0.08,NA,0 mort,0,12,2021,24,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,27,0.15,NA,0 mort,0,12,2021,25,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,30,0.23,NA,0 mort,0,12,2021,26,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,34,0.36,NA,0 mort,0,12,2021,27,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,25,0.13,NA,0 mort,0,12,2021,28,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,24,0.12,NA,0 mort,0,12,2021,29,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,26,0.18,NA,0 mort,0,12,2021,30,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,23,0.09,NA,0 mort,0,12,2021,31,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,24,0.11,NA,0 mort,0,12,2021,32,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,22,0.08,NA,0 mort,0,12,2021,33,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,26,0.18,NA,0 mort,0,12,2021,34,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,26,0.15,NA,0 mort,0,12,2021,35,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,33,0.33,NA,0 mort,0,12,2021,36,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,30,0.21,NA,0 mort,0,12,2021,37,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,26,NA,NA,0 mort,0,12,2021,38,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,22,0.11,NA,0 mort,0,12,2021,39,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,34,0.35,NA,0 mort,0,12,2021,40,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,31,0.26,NA,0 mort,0,12,2021,41,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,26,0.18,NA,0 mort,0,12,2021,42,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,23,0.08,NA,0 mort,0,12,2021,43,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,23,0.06,NA,0 mort,0,12,2021,44,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,24,0.09,NA,0 mort,0,12,2021,45,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,27,0.08,NA,0 mort,0,12,2021,46,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,23,0.22,NA,0 mort,0,12,2021,47,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,21,0.07,NA,0 mort,0,12,2021,48,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,23,0.1,NA,0 mort,0,12,2021,49,age0
2021-08-05,10:57:00,Upper Bar BC,1,31.65,31,39,Dipnet,JB,SP,QH,SRC,24,0.09,NA,0 mort,0,12,2021,50,age0
