stream,tempsite,year,date,priordate,section,meantempper,Amedian,avgredds,elev,lat,lon,utm_n,utm_e,basin_areasqkm,springprev_point_norm,springprev_basinmean_norm,springprev_iew01km_norm,springprev_iew05km_norm,springprev_iew01km_log_norm,springprev_iew05km_log_norm,seclen,elap,catch,density,cpue,effabun,effden_permeter,prodwtmean,prodwtsd,prodlenmean,prodlensd,lenmean,lensd,lenmed,wtmean,wtsd,wtmed,growthwtmean,growthwtsd,growthlenmean,growthlensd,pvalue,slope_basin,slope_stream,forest_strbuff,loglakearea,ts,priorcatch,priorlenmean,priorwtmean,agr_len,igr_len,rgr_len,rgrl_len,sgr_len,agr_wt,igr_wt,rgr_wt,rgrl_wt,sgr_wt,doy,density_log,cpue_log,effden_permeter_log,avgredds_log,strid,yrid,sectid
Upper Bar BC,upperbarbc_SG,2021,2021-08-05,2021-08-01,1,11.2604947925,0.2955734945488184,NA,1978.66,43.6787324915,-110.705785771,4836233.424344001,523715.2774547262,5.737212268229257,0.5274349904234408,0.8337598623194578,0.7464046022364514,0.8324666876315442,0.942527279101443,0.9632537152324044,150,31.65,102,0.68,3.2227488151658767,71214,474.76,NA,NA,NA,NA,26.137254901960784,3.894752030608139,25,0.1625,0.09345635831280238,0.13,NA,NA,NA,NA,NA,2.452634761181623,1.42739738670328,0,-6.907755278982137,0.24363923260073347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217,-0.3710636813908319,1.1733328016840905,6.162830476240552,NA,12,1,12.1
Upper Bar BC,upperbarbc_SG,2021,2021-08-05,2021-08-01,2,11.2604947925,0.2955734945488184,NA,1980,43.6797034185,-110.7076513375,4836340.725467591,523564.52252963017,1.0721637327812,0.510889410385717,0.7885993465795321,0.717990419960077,0.7902531464634588,0.9349109045103215,0.9528347582868584,111,27.8,70,0.6306306306306306,2.5179856115107913,36396,327.8918918918919,NA,NA,NA,NA,22.6,3.0522028158340833,22,0.105,0.05539711707038684,0.09,NA,NA,NA,NA,NA,2.452634761181623,1.42739738670328,0,-6.907755278982137,0.24363923260073347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217,-0.44530222741690756,0.9274227846192011,5.792714453556104,NA,12,1,12.2
Upper Bar BC,upperbarbc_SG,2021,2021-08-05,2021-08-01,3,11.2604947925,0.2955734945488184,NA,1979.86,43.682222417999995,-110.7046437665,4836621.348362187,523805.9493783877,4.588540510159026,0.5701279963468117,0.8663072979306295,0.7765301805756214,0.8654425994835618,0.9502946353498796,0.9710344963093296,150,17.45,13,0.08666666666666667,0.7449856733524356,7596,50.64,NA,NA,NA,NA,24.153846153846153,0.9870962335856492,24,0.1076923076923077,0.01363442099604658,0.11,NA,NA,NA,NA,NA,2.452634761181623,1.42739738670328,0,-6.907755278982137,0.24363923260073347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217,-2.336486644669727,-0.28105650560529133,3.9249392306946924,NA,12,1,12.3
Upper Bar BC,upperbarbc_SG,2021,2021-08-05,2021-08-01,4,11.2604947925,0.2955734945488184,NA,1981.39,43.683732948,-110.7045737565,4836789.130457658,523810.9948047453,4.529905924183394,0.5572943803106315,0.8725467259979143,0.7832363532900656,0.871971222320946,0.9519830038280476,0.9725400272049536,150,27.11666667,20,0.13333333333333333,0.7375537798724581,10620,70.8,NA,NA,NA,NA,23,1.4509525002200232,23,0.1025,0.0224487720916101,0.1,NA,NA,NA,NA,NA,2.452634761181623,1.42739738670328,0,-6.907755278982137,0.24363923260073347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217,-1.9425823589626385,-0.29094902998763805,4.260000233663683,NA,12,1,12.4
Upper Bar BC,upperbarbc_SG,2021,2021-08-20,2021-08-05,1,10.753841668666666,0.2955734945488184,NA,1978.66,43.6787324915,-110.705785771,4836233.424344001,523715.2774547262,5.737212268229257,0.5274349904234408,0.8337598623194578,0.7464046022364514,0.8324666876315442,0.942527279101443,0.9632537152324044,150,33.5,129,0.86,3.850746268656717,82019,546.7933333333333,-0.10497733333333334,0.9084710750990508,4.483466666666667,32.45011485928898,26.7,4.214890997694837,25.5,0.1484,0.11969962405956004,0.115,-0.8504872000857366,4.830746621537532,0.19583987197801536,1.2927703894424625,0.108398,2.452634761181623,1.42739738670328,0,-6.907755278982137,0.24363923260073347,102,26.137254901960784,0.1625,0.03751633986928103,0.0014201251967880543,0.0014353588397099269,4.3517247942438057e-4,0.14211340520857707,-9.400000000000001e-4,-0.006051111402434136,-0.0057846153846153854,0.0033301343197232654,-0.6032840299900255,232,-0.13926206733350766,1.3508604986390498,6.3040892009053415,NA,12,1,12.1
Upper Bar BC,upperbarbc_SG,2021,2021-08-20,2021-08-05,2,10.753841668666666,0.2955734945488184,NA,1980,43.6797034185,-110.7076513375,4836340.725467591,523564.52252963017,1.0721637327812,0.510889410385717,0.7885993465795321,0.717990419960077,0.7902531464634588,0.9349109045103215,0.9528347582868584,111,28.83333333,173,1.5585585585585586,6.000000000693642,103778,934.936936936937,0.1879621621621622,0.8988940595094864,29.363243243243243,44.65232304044545,25.48,3.0920569733642704,24,0.12560000000000002,0.07088824202322172,0.1,0.9220547070513172,4.381851621275093,0.7986818135501015,1.1422302953648968,0.192383,2.452634761181623,1.42739738670328,0,-6.907755278982137,0.24363923260073347,70,22.6,0.105,0.19199999999999992,0.007996261628381489,0.008495575221238935,0.002564589511935512,0.8028317112778183,0.0013733333333333347,0.011942793591771661,0.013079365079365093,-0.0052989708331627125,1.2014393501573073,232,0.450157082066173,1.7934247486625308,6.84048977573913,NA,12,1,12.2
Upper Bar BC,upperbarbc_SG,2021,2021-08-20,2021-08-05,3,10.753841668666666,0.2955734945488184,NA,1979.86,43.682222417999995,-110.7046437665,4836621.348362187,523805.9493783877,4.588540510159026,0.5701279963468117,0.8663072979306295,0.7765301805756214,0.8654425994835618,0.9502946353498796,0.9710344963093296,150,17.16666667,38,0.25333333333333335,2.213592232579885,36365,242.43333333333337,0.2140328888888889,0.13694151909139343,11.2024,5.620064065546014,30.76315789473684,3.299747824323122,31.5,0.23421052631578948,0.08179181148955274,0.25,4.763597196940865,2.7978464546695943,1.5524341980744625,0.7624372136932157,0.418457,2.452634761181623,1.42739738670328,0,-6.907755278982137,0.24363923260073347,13,24.153846153846153,0.1076923076923077,0.4406207827260457,0.016124944886597704,0.018242261705218452,0.005063661589909507,1.6255653421298533,0.008434547908232119,0.05179614919013547,0.07832080200501253,-0.023242845396861854,5.316103290026963,232,-1.3343346221891794,0.7991240109177917,5.490768006094874,NA,12,1,12.3
Upper Bar BC,upperbarbc_SG,2021,2021-08-20,2021-08-05,4,10.753841668666666,0.2955734945488184,NA,1981.39,43.683732948,-110.7045737565,4836789.130457658,523810.9948047453,4.529905924183394,0.5572943803106315,0.8725467259979143,0.7832363532900656,0.871971222320946,0.9519830038280476,0.9725400272049536,150,29.88333333,121,0.8066666666666666,4.049079755052881,100204,668.0266666666666,0.19935422222222215,0.35484650292955217,20.596888888888888,16.647399657969476,26.8,2.8284271247461903,26,0.14200000000000002,0.06269459502140483,0.12,1.7900396660967446,2.937632185921265,0.9953160881295828,0.8174256134530267,0.241699,2.452634761181623,1.42739738670328,0,-6.907755278982137,0.24363923260073347,20,23,0.1025,0.25333333333333335,0.010193844772510759,0.01101449275362319,0.003251112606339154,1.0245979006976658,0.0026333333333333347,0.021730950601519868,0.02569105691056912,-0.009539936932259787,2.196878739068464,232,-0.2025242641114741,1.4009562866050584,6.504343062249793,NA,12,1,12.4
Upper Bar BC,upperbarbc_SG,2021,2021-09-09,2021-08-20,1,10.17976041715,0.2955734945488184,NA,1978.66,43.6787324915,-110.705785771,4836233.424344001,523715.2774547262,5.737212268229257,0.5274349904234408,0.8337598623194578,0.7464046022364514,0.8324666876315442,0.942527279101443,0.9632537152324044,150,22,37,0.24666666666666667,1.681818181818182,61743,411.62,0.5361916666666667,0.3916950968142348,16.56736666666667,9.2123729355080215,40.351351351351354,6.451598493638853,39,0.5821621621621622,0.2967334675272588,0.53,6.966174327467768,3.557234420214109,2.0156545659182106,1.0268916863088686,0.613434,2.452634761181623,1.42739738670328,0,-6.907755278982137,0.24363923260073347,129,26.7,0.1484,0.6825675675675678,0.020648065974438114,0.025564328373317145,0.006286204222527317,2.086271208551982,0.02168810810810811,0.06834188536664376,0.14614628105194147,-0.03582152797631713,7.0731313276983565,252,-1.3599770528025172,0.525803797855789,6.0201248876011935,NA,12,1,12.1
Upper Bar BC,upperbarbc_SG,2021,2021-09-09,2021-08-20,2,10.17976041715,0.2955734945488184,NA,1980,43.6797034185,-110.7076513375,4836340.725467591,523564.52252963017,1.0721637327812,0.510889410385717,0.7885993465795321,0.717990419960077,0.7902531464634588,0.9349109045103215,0.9528347582868584,111,18.08333333,75,0.6756756756756757,4.147465438552529,85562,770.8288288288288,0.8848648648648648,1.3444871794843234,25.66216216216216,31.332852330170564,33.02,8.830582295266229,31,0.369,0.382378432061907,0.23,3.9437121349770328,4.87462920658386,1.165704243276014,1.3420383034709875,0.472168,2.452634761181623,1.42739738670328,0,-6.907755278982137,0.24363923260073347,173,25.48,0.12560000000000002,0.3770000000000001,0.012960980389400967,0.014795918367346943,0.004002904686526757,1.3045337953996983,0.012169999999999999,0.053884719500321455,0.0968949044585987,-0.025972882622948983,5.536293237595191,252,-0.37735053903303395,1.4249056190143197,6.647479309984511,NA,12,1,12.2
