V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100
-2.7945245024853436,-2.7901433152086,-2.786412780908183,-2.7824865183612633,-2.7785961589105304,-2.774600063746015,-2.770135032032629,-2.765901900399715,-2.761510311632298,-2.757670855167631,-2.754327988011826,-2.7507616750461095,-2.7464953668398837,-2.743330478112984,-2.7395610686491096,-2.735422487774466,-2.731415739896554,-2.727358170425312,-2.7231209539645267,-2.7195157882745553,-2.7155034684467245,-2.7117774790419613,-2.707264574922684,-2.7034720558577723,-2.69966375312723,-2.6958934078437715,-2.692361116057212,-2.6896486912778945,-2.6866791431709025,-2.6844446704624723,-2.683623144790109,-2.6817469803803435,-2.680459051370041,-2.6791448029859906,-2.676751099403898,-2.673990225322176,-2.671524279553596,-2.667876598881242,-2.6642739161106963,-2.6605250236596234,-2.656361960895606,-2.65225054541109,-2.647987633018848,-2.64328216416269,-2.638672768241942,-2.6345250312887263,-2.630224889311104,-2.6252169898248674,-2.6207835558928743,-2.616255540795745,-2.61177060953527,-2.607985220587448,-2.60416919390376,-2.5991140588154114,-2.594255128622785,-2.589589909399473,-2.585577142330581,-2.5812440964952614,-2.5769858254245595,-2.5728310597086974,-2.5687714261237615,-2.5648312669421323,-2.560865446636466,-2.556862472930652,-2.5525498908483923,-2.548990701397286,-2.5451993182580113,-2.5416748935714226,-2.5376438227584646,-2.533835184849946,-2.5292451142252466,-2.5248769279579864,-2.5207293166063947,-2.5161915034521014,-2.5125011211045316,-2.5084573671169674,-2.5037027783942154,-2.4993497671126104,-2.495417896943682,-2.49178426507229,-2.488101907450109,-2.484737695453829,-2.4807210977273177,-2.4762256916632133,-2.4717820508702344,-2.4670803412175255,-2.463318919678347,-2.459080562012882,-2.45520188821036,-2.4508704581534593,-2.4473599121879137,-2.4434913266917557,-2.4390311869696784,-2.434262141355685,-2.4302906326467153,-2.425902230310932,-2.4222010208049967,-2.4177386482318473,-2.413569068589606,-2.4097779278436526
-2.806891150492794,-2.802027522379176,-2.797295240011893,-2.7918734099860045,-2.786911991742592,-2.7824283826171987,-2.777762717708414,-2.772694558780233,-2.767964266833526,-2.763181801331241,-2.7581530447756335,-2.753784525596683,-2.749977168447847,-2.7452066244301436,-2.7404539718941896,-2.7363740616537093,-2.7312669264393965,-2.7270712393426493,-2.7219069201549853,-2.717116083976813,-2.7124259604597434,-2.7081336027179708,-2.7032622270105477,-2.698455729766125,-2.693706228472493,-2.6894419370043448,-2.684828243211149,-2.681158071398969,-2.6774610364062834,-2.6746203357812774,-2.6728045943509366,-2.6703957105140987,-2.668493938206697,-2.6662494671353394,-2.663244966290799,-2.6598492107752048,-2.655981283233955,-2.652182471448355,-2.6475378306828796,-2.642890757874442,-2.6380943850205876,-2.633107384193993,-2.628021193474668,-2.623023053474487,-2.6178465429877353,-2.6123664890172162,-2.6069806779297533,-2.6016298537198477,-2.5965351780552792,-2.591837838357198,-2.5869315237257724,-2.58181649818282,-2.5766808399503187,-2.5713483331543197,-2.565948254783704,-2.560368178384329,-2.5559504366189403,-2.551093973736769,-2.5463825696206244,-2.541379135517573,-2.5363265075581527,-2.532409748855943,-2.5274603766871993,-2.52222908297549,-2.517405867008855,-2.512934159272766,-2.5082318582099132,-2.5037354033266315,-2.498665277328235,-2.4935626454880953,-2.48882795546686,-2.4836528417292736,-2.4789802779503924,-2.4744296174248905,-2.469956873765966,-2.4656081347659855,-2.4609870337768287,-2.456360289049157,-2.4515041327148075,-2.446316888612527,-2.4418247764913072,-2.437176660332188,-2.4325286683212086,-2.4279592548985924,-2.4237652615432848,-2.418788468783454,-2.4140916819267,-2.409315017171771,-2.404089978198592,-2.3991238167035367,-2.394556277079163,-2.3899776598547975,-2.385117729191335,-2.3798106837719795,-2.3750259222088856,-2.369998580001847,-2.365278650466056,-2.35996806819922,-2.355155158365224,-2.3495348876641855
-2.819168731982267,-2.813483817345757,-2.808403125395812,-2.8028879548778374,-2.7975201329892494,-2.79204372817388,-2.7859705667888806,-2.780315174797757,-2.774562488290777,-2.7692814532554255,-2.763913037991487,-2.7584358718837994,-2.7528874455897565,-2.7473028249090024,-2.7422841896245167,-2.7370610955842665,-2.731558405501711,-2.726399183747454,-2.7206295485302325,-2.7156885437596405,-2.709821392448351,-2.7044588707021635,-2.698936478829218,-2.6938649717541274,-2.688536403406933,-2.683420301034669,-2.6780537352108924,-2.673263859767141,-2.6692427493920565,-2.665549983214527,-2.662596845654407,-2.6594196886215222,-2.6566370976523714,-2.6538159127387253,-2.6505351879123467,-2.646133506903767,-2.6415602008598755,-2.63666429640212,-2.6313025637908845,-2.625660160647107,-2.6203006169252148,-2.614974013015308,-2.6089911161476587,-2.603328746906469,-2.5973238334626174,-2.591062723684987,-2.5851651275434637,-2.5790966561786774,-2.5738436186065043,-2.5681601553280986,-2.5622992996067806,-2.5562919395683057,-2.5507158147939304,-2.544401055927568,-2.538545811169281,-2.5332398108126855,-2.5276630477429105,-2.521299745616122,-2.5162968466120463,-2.510582339463615,-2.5056442951988074,-2.500550514273248,-2.4950740543851806,-2.4889876997024,-2.483397685360238,-2.4781915637745007,-2.472891934964583,-2.467272259075544,-2.461938859302702,-2.456498965138083,-2.451443555278224,-2.445619696854733,-2.4400138629514903,-2.435299015094868,-2.4298740053991517,-2.423704631902367,-2.4178685426528777,-2.4124933561695476,-2.4074860854955693,-2.401903713458916,-2.396852048492836,-2.391371010486183,-2.3861828666260125,-2.380567508870967,-2.3751426808485676,-2.369679248121397,-2.3641705388143537,-2.358701904761941,-2.3531816162440475,-2.3479426121890152,-2.3421893150856943,-2.337285949167547,-2.331672024487176,-2.326226053083203,-2.3206252660183795,-2.315054153618204,-2.3093056673067025,-2.303790393433796,-2.2982791166582324,-2.2929597960481996
-2.8324845007384507,-2.8261843938514275,-2.8198948725350768,-2.813356178789818,-2.80671154853638,-2.8007154106414998,-2.7944704374318468,-2.787634393077292,-2.7814634744660833,-2.7746717502031513,-2.768815688240255,-2.7628802525778084,-2.7567691709428557,-2.7503461152779036,-2.744458921750035,-2.7379688610797537,-2.7316428145356464,-2.725995856597738,-2.719999265958769,-2.714055719500239,-2.708248553550952,-2.7017123484789156,-2.6956842655635214,-2.6894720432368393,-2.6838098939727244,-2.6774728872348845,-2.671585839943424,-2.666322645146685,-2.6609658703370846,-2.6567540946613684,-2.6527485440007235,-2.64884514626187,-2.6456162734892184,-2.6423000574507833,-2.638002839407904,-2.6331092889360788,-2.627896321568932,-2.62212920220261,-2.6158551857109535,-2.609483880031533,-2.6030521443528,-2.5969125329789478,-2.5905533910181875,-2.584065820525357,-2.5769572644898213,-2.570892240665817,-2.5642010938690936,-2.5577794657853867,-2.5517632288157825,-2.545166356328038,-2.538799991054274,-2.5317758123678797,-2.52508469822754,-2.518652994166815,-2.512275314496318,-2.5063130955702877,-2.500270594896935,-2.494140955985129,-2.488126546625047,-2.481857960269292,-2.4760667588185097,-2.4693432896182053,-2.462896317589202,-2.456883555897978,-2.450631983457857,-2.444434170960853,-2.4387367003958778,-2.4326832540792696,-2.4267727484442405,-2.421194624775972,-2.4147789435021103,-2.4085119863885414,-2.401933699953906,-2.395450438995004,-2.3889147695387787,-2.3832177492317514,-2.376671768480418,-2.3708275685205247,-2.364473314210934,-2.3584602718582888,-2.3524670626967485,-2.346315385275129,-2.3399526431946827,-2.333426701109989,-2.3276526310874726,-2.3213499089971124,-2.315258474600487,-2.3086382867464876,-2.3026260762710598,-2.29663548831103,-2.290387583946135,-2.284603486523399,-2.2789549379500373,-2.2732860662674765,-2.267239142066912,-2.2613860004066404,-2.255864572455903,-2.2499178350558773,-2.244026787263584,-2.2379373154333573
-2.8451070401617238,-2.8381735708046545,-2.831453472061235,-2.8244882172511474,-2.8169163414978566,-2.8096379680934898,-2.80201413734943,-2.794933596831228,-2.7876878314355373,-2.7807050244859672,-2.774102887170402,-2.7675338551022133,-2.760715155814107,-2.753693438728153,-2.7468102213399646,-2.739763794768433,-2.7331426869140323,-2.7264137947283253,-2.7194402314694903,-2.712804551389813,-2.7066212117784643,-2.699587405679105,-2.6926029866990877,-2.685554163451463,-2.679091658926107,-2.6726735429538095,-2.6660597371383643,-2.659679806750063,-2.6535994448167264,-2.648268593442553,-2.6438266973301285,-2.6391543950125738,-2.6352467390568552,-2.631356226196047,-2.626548238981526,-2.6203923263989175,-2.614089750495782,-2.607790486291274,-2.6008260887102264,-2.5937212563713032,-2.5867226229442344,-2.5800807636088683,-2.5726476538810106,-2.5654338359101256,-2.5583535949367073,-2.5511635901166736,-2.5438903953161542,-2.5370843752853385,-2.52989056075854,-2.52281594420005,-2.515553593087893,-2.508365238784436,-2.5008484700422593,-2.4937177876292163,-2.4868314060239105,-2.4802379478787158,-2.473634802765571,-2.4666717244877185,-2.460030746481527,-2.4534656290532024,-2.4466542190476472,-2.439170633033455,-2.4320937288463274,-2.4253530096968463,-2.418596941506558,-2.4119942442539872,-2.405273138097872,-2.3986969283281656,-2.392172282362782,-2.3854540475384045,-2.3781279349222824,-2.371190385278352,-2.3638405647565257,-2.3568060437102156,-2.34973570887451,-2.3429469496416404,-2.336343628005218,-2.3297747182547073,-2.3233610053343727,-2.316111633385411,-2.30964528146232,-2.3028796465422277,-2.2957944770790752,-2.288643210465935,-2.281889383074975,-2.2751972668226452,-2.268607333691109,-2.261753523779685,-2.255113807772458,-2.2486879355179283,-2.2421651562535554,-2.235014172859154,-2.2283327176687084,-2.221389753023097,-2.2154038635964404,-2.208449489449433,-2.2011232701119448,-2.1941838772756714,-2.1876087193637836,-2.181024155692485
-2.857202768855024,-2.849943064342979,-2.842613244015055,-2.8346955599008554,-2.826890550918552,-2.8188588586536487,-2.810775823738467,-2.8028434365603827,-2.7952793582595463,-2.7875004221198183,-2.7795591464559006,-2.771773460149963,-2.7643059814188797,-2.7571679608098103,-2.7497354148335993,-2.742119310246432,-2.7346181832552716,-2.727209876917163,-2.719895430619097,-2.7121007228296357,-2.704752437788018,-2.697414069074492,-2.6894125219359637,-2.6821452975664597,-2.6749490946056023,-2.6673827810097666,-2.660635796090446,-2.653284195203116,-2.64636798956072,-2.640252673746062,-2.6350174712637333,-2.6296421575071505,-2.6252105274385107,-2.620992376005919,-2.6151573992569253,-2.608488358585464,-2.601242213611399,-2.5941599401684634,-2.5860455599699845,-2.5786093737687623,-2.5706744562528363,-2.5629747174119046,-2.5551750276249328,-2.547608823340802,-2.5401784486405736,-2.5324418657698784,-2.5248068054038884,-2.5164190650989395,-2.508797913012736,-2.500862385438145,-2.4929327998050637,-2.484975686199307,-2.4774911805316213,-2.4700960335475464,-2.462536354141931,-2.455082366274458,-2.4476620210500037,-2.4399588660709526,-2.432778333122379,-2.4255005622071444,-2.417765753809417,-2.409986006395423,-2.402127522351326,-2.394471909386217,-2.3870764977820116,-2.3796456060550804,-2.372339748607057,-2.3643316754876667,-2.3566698234170254,-2.349429258868444,-2.3420996625622696,-2.3346920686668144,-2.326807995682322,-2.3191376999459035,-2.31171183170172,-2.304071155499594,-2.29679153013242,-2.2895294558861488,-2.2819051389341944,-2.2744427319199194,-2.267181234867274,-2.2600590524512842,-2.25304074245921,-2.245355370673744,-2.237532690582924,-2.230225448881628,-2.222815890400673,-2.2154573753722606,-2.208170150820643,-2.200537444215979,-2.193354774148343,-2.1852430589336804,-2.1774264858433403,-2.169741766424709,-2.161879642170878,-2.1543820555737536,-2.146709099788783,-2.138407367455579,-2.131143533832279,-2.123745252397258
-2.869144683728907,-2.86123185685545,-2.8529835971081194,-2.8444973296440437,-2.8363480211597567,-2.8281423227915465,-2.81962817092043,-2.8111164802396225,-2.802932232064474,-2.7946233757652283,-2.786198361119596,-2.77773424028213,-2.769662564483604,-2.7612108516326423,-2.7528594688140995,-2.7447799346064414,-2.7361641957874037,-2.7278694524188074,-2.719987062907922,-2.7120039052208353,-2.7033126977663944,-2.6954683694120574,-2.687089999904313,-2.6788473222801237,-2.6707296934492426,-2.6626898900688976,-2.654833211905342,-2.647336642154344,-2.6399886264674963,-2.63283946022227,-2.626685765830783,-2.621099793819247,-2.615898729449979,-2.6105621465595243,-2.6040575049517036,-2.596962675022781,-2.5891309354180816,-2.5809263518659273,-2.5724636588391103,-2.5638334186744034,-2.555576846232098,-2.5471530217743568,-2.5390151792691533,-2.530840870912641,-2.522359243429106,-2.513796273127473,-2.5053551889560897,-2.49727601204774,-2.4891693530730983,-2.4801245051340226,-2.4719477432102557,-2.463414413736407,-2.4552302256817904,-2.4465511461977782,-2.4389573190656026,-2.4308406225155563,-2.4219154390045134,-2.414227782712564,-2.4063207727347846,-2.3976798686202985,-2.3895078416731907,-2.38125776148446,-2.3731311309660255,-2.365080892809296,-2.35697276780225,-2.3490045386247616,-2.340578795323087,-2.3325224361394756,-2.3242909858457503,-2.3157683633206405,-2.3077498050322562,-2.2994933955298342,-2.290902258646762,-2.2827582850332755,-2.2744114218583538,-2.2664359463050134,-2.258645516724777,-2.250659771875228,-2.2428215866514147,-2.2344863821878147,-2.226292609009996,-2.2181807572534713,-2.209952037616648,-2.2018395300607816,-2.1936699961890307,-2.1851283070938754,-2.176611926419608,-2.168250412548698,-2.1600395801921555,-2.1516188584020695,-2.14338295458458,-2.135657976763138,-2.1276785184597697,-2.119479490650033,-2.111494632576939,-2.103203607961479,-2.094927543781096,-2.0867333914989983,-2.0788240919833783,-2.0710333987740914
-2.880934585704879,-2.872208841435894,-2.8639262200231466,-2.8555069488195386,-2.846530759518981,-2.8373108850950968,-2.8280329791873724,-2.819138140112023,-2.8103452282098105,-2.80115083222285,-2.7923443994237784,-2.783409554847438,-2.774614958554692,-2.7659542666385013,-2.7567525692623835,-2.7477417961329893,-2.738572926388153,-2.729641831296375,-2.720647107329861,-2.711952782940723,-2.70298012443759,-2.6940847078959367,-2.68557917203226,-2.676337892603783,-2.667181481789795,-2.6585535676207135,-2.6500270878179775,-2.641804238559982,-2.6338803092037812,-2.625978432138031,-2.619076557585042,-2.6128822957789097,-2.607138232302979,-2.600869586418242,-2.593616893229555,-2.5855611006883024,-2.5770271840725307,-2.5682839716755286,-2.559178878601692,-2.5501562584405897,-2.541307149447639,-2.5323067351212956,-2.523434438458345,-2.514171806827341,-2.505237888127978,-2.496298131773593,-2.487807686525726,-2.479085693633748,-2.469644867427463,-2.4607054756745432,-2.4511850823488732,-2.4424556198264984,-2.4339348855001504,-2.4249129308059896,-2.4163227935062013,-2.407521728466845,-2.398132515292695,-2.3893473322542684,-2.38071373555364,-2.3718101026981264,-2.362980448824621,-2.3542053067273523,-2.3455988823460165,-2.336670101611678,-2.32744046763586,-2.3187748834539192,-2.310209634071362,-2.3014010853452462,-2.292654314121598,-2.2836588459467206,-2.2748506022292254,-2.266083196687384,-2.257003063179858,-2.247827792419565,-2.238974105651452,-2.2298728924860436,-2.2211002307291414,-2.2122900859352264,-2.203649286396187,-2.19500718533619,-2.1867828003242282,-2.1780550424401017,-2.169044268176094,-2.1602277995401673,-2.1515592111671378,-2.1426795773020397,-2.1338052555497367,-2.1250209492799152,-2.1161445057112385,-2.1073576203216877,-2.0980172390459515,-2.088949888352041,-2.0807822055564777,-2.071980825497426,-2.0629884197559485,-2.0541353194667398,-2.0457083781217644,-2.036723461906649,-2.0274735381184446,-2.018573739118612
-2.892754952868377,-2.883645275533086,-2.874035144461959,-2.8650347639906886,-2.856107539687277,-2.846615298915035,-2.837453423094014,-2.827836419579274,-2.8178809384506422,-2.8080916418468673,-2.7984085354799255,-2.7890319459795836,-2.7793447725223652,-2.7693147305589623,-2.7601740727302353,-2.7512240653909292,-2.741259828576971,-2.7315178002388647,-2.7222559098946544,-2.7124582870339315,-2.702576600266701,-2.693377659361662,-2.684073693720805,-2.674326930937779,-2.664524965633805,-2.654992037410614,-2.64570736012202,-2.6369272383952262,-2.6283669949663953,-2.619649455095042,-2.612212617618572,-2.6052535940761254,-2.5986927698934625,-2.5918432648353806,-2.583706011899313,-2.5753555391038576,-2.56599737286851,-2.5564412035399195,-2.5466294924693718,-2.5371171778004085,-2.527489677405003,-2.517979696841061,-2.508361728362005,-2.498665744565823,-2.4893343017378315,-2.4797296667967172,-2.4701242150971647,-2.4604725321559533,-2.450786320063991,-2.4411109396866726,-2.431734378407503,-2.422130701215833,-2.412711970109001,-2.4037652743991575,-2.39432385706351,-2.384802079966732,-2.374933165943319,-2.365168559042935,-2.356150417347397,-2.3468386777163843,-2.3374911904913063,-2.327941698692352,-2.318724177884165,-2.309104972948319,-2.299705023607201,-2.290123274049999,-2.280556209143814,-2.2710926685007085,-2.2612564667345856,-2.2519734279524846,-2.242546576139751,-2.2330967959831467,-2.2239111415670667,-2.214307480166729,-2.2049610769641044,-2.1954019574238233,-2.185953732423941,-2.176113338901957,-2.1667687280335253,-2.1573379543231668,-2.1479511856064493,-2.1388576219201294,-2.129367184985303,-2.1199820511099494,-2.1108149738898034,-2.1012040773295837,-2.0917703194833814,-2.0823290595152937,-2.0729304513276627,-2.0632313700193166,-2.053675816749518,-2.0439552213559784,-2.034473091186805,-2.025207933956048,-2.0153810938432666,-2.006112508423503,-1.9965200108237937,-1.9870212882036506,-1.9776007175464851,-1.9680761981302386
-2.9055572281371917,-2.8958553463906993,-2.8856572610231117,-2.8753747008465647,-2.8654562754026953,-2.8552611750442125,-2.8456834168059126,-2.835552314721955,-2.825480226017901,-2.8150432552355067,-2.8050234867814994,-2.794837309212089,-2.784476903457006,-2.7745737686552348,-2.764080019823897,-2.7539281136901126,-2.7438407487364165,-2.7332805582508177,-2.723559019519108,-2.7134854797755645,-2.703395236808454,-2.6929316512035304,-2.6827584251420267,-2.6722842321249862,-2.6620972200991515,-2.652014119876177,-2.641911156774004,-2.6319987958788014,-2.6229621723719587,-2.6137101121119057,-2.6057740729890035,-2.598135872518932,-2.591028254516079,-2.58359553665641,-2.5745539400327235,-2.5650340761493142,-2.5553133396042567,-2.5447536565174387,-2.534716980217296,-2.5246254511404222,-2.514222562379241,-2.504292479527659,-2.49394112464507,-2.4836037858758524,-2.473489300531828,-2.463377495328416,-2.452935416315441,-2.4424486367533196,-2.432673274513708,-2.4226106779722683,-2.412493460691624,-2.402386171419735,-2.3926661426737823,-2.38294609112359,-2.3726111197733672,-2.3622328567143667,-2.352602650541292,-2.3428819162518506,-2.3329316151528596,-2.322627742341484,-2.312444475878314,-2.3026098421392254,-2.2922096511743337,-2.282247433863014,-2.2720171009298453,-2.2620986951477153,-2.2520838763356403,-2.2421824060444484,-2.2325359169600034,-2.2224475602889804,-2.212245450922952,-2.201996591660225,-2.191731568940275,-2.181826329609991,-2.1715378974759965,-2.161028471490562,-2.1505416149375645,-2.1405701611521817,-2.13031556111033,-2.120439821544478,-2.1109719478476894,-2.100970096382153,-2.090841176070799,-2.0804894980011883,-2.0702416282082945,-2.0604583857844467,-2.050082417034296,-2.040168644036162,-2.0301266958030943,-2.0199077128022855,-2.0095263045712937,-1.9993082038234467,-1.9894202136032382,-1.9793733307163506,-1.9695225767528124,-1.9594727660302875,-1.9497323097372805,-1.939461870631897,-1.9291508628745526,-1.9192975957714162
